RegionName,Median Price 2009,Inflated Median Price 2009,Median Price 2019,Percent Change,Outcome
92081,351900.0,419359.23,557450.0,0.32928992644325494,0
92082,383800.0,457374.46,620100.0,0.3557818685372156,0
92083,217250.0,258896.82499999998,459000.0,0.7729070258007221,0
92084,260400.0,310318.68,571300.0,0.8410106668409392,1
92101,377250.0,449568.825,538750.0,0.19837046085212867,0
92103,416150.0,495925.955,670900.0,0.3528229229300974,0
92106,723400.0,862075.78,1034350.0,0.199836515532312,0
92109,529950.0,631541.415,890100.0,0.40940875587707887,0
92111,332950.0,396776.515,565200.0,0.4244794705150328,0
92114,198850.0,236969.54499999998,454150.0,0.9164909988749822,1
92117,346650.0,413102.805,647250.0,0.5668012711751014,0
92119,358850.0,427641.545,601350.0,0.4062010743133014,0
92120,385900.0,459877.02999999997,628150.0,0.3659086212677333,0
92123,351300.0,418644.21,597100.0,0.42627077059061674,0
92124,429700.0,512073.49,610550.0,0.19230933044395643,0
92126,341100.0,406488.87,572700.0,0.4088946642007689,0
92127,495400.0,590368.1799999999,925500.0,0.5676657912016873,0
92128,398650.0,475071.205,595050.0,0.25254907840604646,0
92131,544850.0,649297.745,781400.0,0.20345404865066952,0
92211,297250.0,354232.825,343950.0,-0.02902843631162643,0
92223,197900.0,235837.43,347850.0,0.4749567106459734,0
92234,154800.0,184475.16,309950.0,0.6801720079819961,0
92253,318000.0,378960.6,449400.0,0.18587525985551012,0
92284,106500.0,126916.05,205900.0,0.6223322424547565,0
92307,118000.0,140620.6,274350.0,0.9509943777796425,1
92308,103400.0,123221.78,247150.0,1.0057330773829107,1
92311,58400.0,69595.28,143500.0,1.0619214406494233,1
92314,177000.0,210930.9,261950.0,0.24187589395389678,0
92315,288100.0,343328.77,357000.0,0.03981964575820424,0
92316,131700.0,156946.88999999998,337300.0,1.1491346531301132,1
92325,128650.0,153312.205,221100.0,0.442155241326025,0
92344,150950.0,179887.115,316150.0,0.7574910798919645,0
92346,155250.0,185011.425,343000.0,0.8539395607595586,1
92352,322500.0,384323.25,427300.0,0.11182448628856048,0
92373,309850.0,369248.245,482850.0,0.30765685832846684,0
92374,200600.0,239055.02,378250.0,0.5822717297465664,0
92395,103950.0,123877.215,247550.0,0.9983497368745334,1
92399,217350.0,259015.995,374550.0,0.44604969279985973,0
92404,87550.0,104333.33499999999,284600.0,1.7277954835815421,1
92405,76300.0,90926.70999999999,261350.0,1.8742929332866,1
92504,153800.0,183283.46,374000.0,1.0405551051906157,1
92505,173000.0,206164.1,405950.0,0.9690625089431185,1
92506,226400.0,269800.88,448300.0,0.6615957664778558,0
92508,286150.0,341004.955,488350.0,0.432090627539415,0
92557,145200.0,173034.84,355150.0,1.0524768306775676,1
92562,237250.0,282730.825,427450.0,0.5118620334376345,0
92563,234900.0,279930.33,439250.0,0.5691404357648561,0
92585,166600.0,198537.22,383300.0,0.9306203642823245,1
92586,120250.0,143301.925,255500.0,0.7829488333809893,0
92591,234950.0,279989.915,456750.0,0.6313087562457385,0
92592,255750.0,304777.275,468500.0,0.5371880990798935,0
92596,239600.0,285531.32,426700.0,0.49440698834719776,0
92604,491450.0,585660.965,775850.0,0.32474254964218086,0
92612,477950.0,569573.015,659750.0,0.15832383667263447,0
92620,603350.0,719012.195,944450.0,0.3135382216987294,0
92626,505500.0,602404.35,817600.0,0.35722791510386676,0
92630,371100.0,442239.87,669500.0,0.5138843089837196,0
92649,558500.0,665564.45,848400.0,0.27470750578700537,0
92656,369450.0,440273.565,566900.0,0.2876085349344106,0
92672,556800.0,663538.5599999999,1029050.0,0.5508518449930025,0
92673,667150.0,795042.655,906600.0,0.14031617586606088,0
92677,510650.0,608541.605,781350.0,0.28397137283653767,0
92679,636950.0,759053.315,919400.0,0.21124561586296486,0
92683,417650.0,497713.505,670200.0,0.34655779533247744,0
92688,361250.0,430501.625,596800.0,0.3862897730060833,0
92691,418100.0,498249.77,711700.0,0.42840005726445185,0
92692,465250.0,554438.425,659700.0,0.18985259724738585,0
92694,515300.0,614083.01,764600.0,0.24510853996758514,0
92706,343300.0,409110.61,643650.0,0.5732909004731019,0
92782,553300.0,659367.61,737650.0,0.11872343865965757,0
92801,289300.0,344758.81,517450.0,0.5009043568748831,0
92802,329800.0,393022.66,561000.0,0.42739861360665576,0
92804,322650.0,384502.005,575350.0,0.4963511048531463,0
92806,370750.0,441822.77499999997,634900.0,0.43700152170743134,0
92807,455200.0,542461.84,687150.0,0.2667250474245341,0
92831,377450.0,449807.165,617750.0,0.37336629575475977,0
92832,294550.0,351015.235,560700.0,0.5973665644455576,0
92833,372800.0,444265.76,597550.0,0.34502825515970437,0
92840,333950.0,397968.21499999997,584800.0,0.46946408772871484,0
92841,353300.0,421027.61,638050.0,0.515458808033991,0
92860,342950.0,408693.515,566150.0,0.38526788221731384,0
92865,401800.0,478825.06,641700.0,0.3401554212722283,0
92867,452000.0,538648.4,724800.0,0.3455901846176466,0
92870,404650.0,482221.40499999997,688350.0,0.42745633616160206,0
92880,352000.0,419478.39999999997,562750.0,0.341547026020887,0
92881,326300.0,388851.71,530650.0,0.3646590367315087,0
92883,281950.0,335999.815,483100.0,0.4377984106925773,0
92886,582650.0,694344.005,801000.0,0.15360684938872626,0
93003,357350.0,425853.995,550050.0,0.29163987295692745,0
93004,401250.0,478169.625,587050.0,0.22770240790598106,0
93010,419700.0,500156.49,622600.0,0.2448103992412455,0
93023,428900.0,511120.13,692800.0,0.3554543429936911,0
93030,312900.0,372882.93,531950.0,0.42658715967502187,0
93036,285650.0,340409.105,521150.0,0.5309519996534758,0
93041,231500.0,275878.55,387050.0,0.4029724311658156,0
93060,237200.0,282671.24,479550.0,0.6964937784261321,0
93063,377350.0,449687.995,568900.0,0.26509937184335997,0
93065,377650.0,450045.505,582050.0,0.2933136616929437,0
93215,127900.0,152418.43,224100.0,0.47029463562903784,0
93277,137700.0,164097.09,229750.0,0.40008576629847614,0
93292,143600.0,171128.12,243150.0,0.42086525580950696,0
93304,65400.0,77937.18,171550.0,1.201131731992356,1
93306,102300.0,121910.91,218900.0,0.7955735052752866,0
93308,107900.0,128584.43,204300.0,0.5888393330358894,0
93309,108800.0,129656.95999999999,215100.0,0.6589930845208773,0
93311,199750.0,238042.07499999998,293100.0,0.23129492968837556,0
93312,198600.0,236671.62,293550.0,0.24032615317375192,0
93314,269850.0,321580.245,356050.0,0.10718865830828633,0
93420,463500.0,552352.95,681250.0,0.23335993769925562,0
93422,349100.0,416022.47,508150.0,0.2214484472437271,0
93444,341050.0,406429.285,608450.0,0.4970623979519587,0
93446,319550.0,380807.735,500150.0,0.3133924393631343,0
93505,57200.0,68165.24,151950.0,1.2291420084488809,1
93536,189600.0,225946.32,346950.0,0.5355417162802208,0
93543,95050.0,113271.08499999999,278750.0,1.4609104786097884,1
93551,209400.0,249541.98,392300.0,0.572080176650037,0
93561,179750.0,214208.07499999998,284000.0,0.325813697732917,0
93611,229350.0,273316.395,335800.0,0.22861272189690623,0
93612,132500.0,157900.25,239800.0,0.5186803060793127,0
93619,320250.0,381641.925,385750.0,0.010764213077480971,0
93637,135700.0,161713.69,244750.0,0.5134773067141069,0
93662,137850.0,164275.845,218050.0,0.327340608109488,0
93703,71500.0,85206.55,178600.0,1.096082988925147,1
93705,86100.0,102605.37,194300.0,0.893663070461127,1
93710,168950.0,201337.715,260950.0,0.2960810645933873,0
93726,102650.0,122328.005,208650.0,0.7056601225532942,0
93907,284100.0,338561.97,598400.0,0.7674755377870706,0
94002,801550.0,955207.135,1652900.0,0.730410022534013,0
94024,1450300.0,1728322.51,2981050.0,0.7248227589189936,0
94044,517650.0,616883.505,1034050.0,0.6762484190592841,0
94061,695700.0,829065.69,1489750.0,0.7969022454662188,0
94070,834000.0,993877.7999999999,1702150.0,0.7126350945760134,0
94080,473950.0,564806.215,967450.0,0.7128883753518896,0
94087,827500.0,986131.75,1824850.0,0.8505133822128736,1
94114,886100.0,1055965.3699999999,1849100.0,0.7510990914408493,0
94131,802350.0,956160.495,1585750.0,0.6584558850656134,0
94401,457350.0,545023.995,901450.0,0.653963877315163,0
94402,940350.0,1120615.095,1609350.0,0.43613093129001623,0
94403,679500.0,809760.15,1342250.0,0.6575895961291748,0
94501,538600.0,641849.62,975350.0,0.5195927045964442,0
94506,880450.0,1049232.265,1336100.0,0.27340727555685695,0
94507,1167750.0,1391607.675,1808050.0,0.29925267910009185,0
94510,363050.0,432646.685,617250.0,0.4266837616009932,0
94513,291550.0,347440.135,589500.0,0.6966951731123406,0
94517,533300.0,635533.61,778200.0,0.2244828404905289,0
94519,267450.0,318720.165,570550.0,0.7901283403263801,0
94530,537750.0,640836.675,901150.0,0.40620853199452095,0
94534,290500.0,346188.85,529200.0,0.5286454199781421,0
94536,421500.0,502301.55,941600.0,0.8745711614865612,1
94539,818100.0,974929.77,1459600.0,0.4971334807018971,0
94541,239450.0,285352.565,633400.0,1.2197102030605542,1
94544,243600.0,290298.12,624850.0,1.152442461563306,1
94545,245550.0,292621.935,674850.0,1.3062180899049827,1
94546,412450.0,491516.665,741650.0,0.5089010257668477,0
94547,316750.0,377470.975,551500.0,0.46103948787055754,0
94550,444350.0,529531.895,829150.0,0.5658169183557866,0
94560,337300.0,401960.41,851850.0,1.1192385588421507,1
94563,918150.0,1094159.355,1472900.0,0.34614760936719313,0
94564,286000.0,340826.2,571200.0,0.6759274961842722,0
94566,718250.0,855938.525,1203350.0,0.4058836760502163,0
94568,448800.0,534834.96,868500.0,0.6238654257006686,0
94577,315150.0,375564.255,661350.0,0.7609503332525616,0
94580,311650.0,371393.305,657150.0,0.7694180028366424,0
94585,185150.0,220643.255,410650.0,0.8611491205566197,1
94588,588050.0,700779.1849999999,1007150.0,0.4371859518059174,0
94589,127400.0,151822.58,392450.0,1.5849251145646452,1
94590,100400.0,119646.68,365650.0,2.056081455833125,1
94591,220100.0,262293.17,438450.0,0.6716028099397328,0
94603,105100.0,125247.67,475850.0,2.7992722738874107,1
94608,250550.0,298580.435,669750.0,1.2431141544823592,1
94619,326800.0,389447.56,773500.0,0.9861467356477981,1
95003,599100.0,713947.47,845500.0,0.18426079722644026,0
95008,614100.0,731822.97,1244150.0,0.7000696220289451,0
95014,967100.0,1152493.07,1857000.0,0.6112895151725293,0
95020,357750.0,426330.675,764950.0,0.7942645107579932,0
95023,257400.0,306743.58,579050.0,0.8877330700776198,1
95032,896950.0,1068895.315,1755850.0,0.6426772344867094,0
95035,418700.0,498964.79,973800.0,0.9516407159711611,1
95050,514900.0,613606.33,1166600.0,0.9012189786242917,1
95110,290000.0,345593.0,762700.0,1.20693127464966,1
95112,352550.0,420133.835,823600.0,0.9603277131916784,1
95116,262050.0,312284.985,672450.0,1.1533215886124017,1
95118,500250.0,596147.925,1078650.0,0.8093663581903768,1
95120,838050.0,998704.1849999999,1494500.0,0.49643910824304804,0
95121,392200.0,467384.74,836550.0,0.7898530448383916,0
95124,592250.0,705784.325,1215900.0,0.7227642452954733,0
95125,616250.0,734385.125,1307950.0,0.7810137426190379,0
95126,459150.0,547169.0549999999,984550.0,0.7993524871394639,0
95129,743250.0,885731.025,1592150.0,0.7975547373425245,0
95131,454800.0,541985.16,1021300.0,0.8843689373340037,1
95132,466750.0,556225.975,1091700.0,0.9626915122041901,1
95135,635500.0,757325.35,868800.0,0.14719519160424252,0
95136,462250.0,550863.325,900800.0,0.6352513574941663,0
95204,86800.0,103439.56,263450.0,1.5468979179725824,1
95205,55150.0,65722.255,206800.0,2.1465749311249285,1
95209,175100.0,208666.66999999998,351700.0,0.6854632318616098,0
95307,143750.0,171306.875,296700.0,0.7319795250482504,0
95336,154900.0,184594.33,388750.0,1.105969343695443,1
95337,205650.0,245073.105,453300.0,0.8496521680745016,1
95340,107450.0,128048.165,259150.0,1.0238478231999657,1
95356,184450.0,219809.065,339400.0,0.5440673477228976,0
95360,124350.0,148187.895,298000.0,1.010960476899952,1
95367,169200.0,201635.63999999998,339200.0,0.6822422861355265,0
95368,158450.0,188824.865,341350.0,0.807759799007403,1
95380,124200.0,148009.13999999998,301900.0,1.039738897205943,1
95382,198550.0,236612.035,358350.0,0.5145045348179351,0
95391,311800.0,371572.06,594100.0,0.5988823271588289,0
95451,190100.0,226542.16999999998,279450.0,0.23354517174440423,0
95501,226750.0,270217.975,264600.0,-0.02079053031168625,0
95503,249750.0,297627.075,299150.0,0.005116889987243225,0
95519,270200.0,321997.33999999997,343650.0,0.06724484121514804,0
