OBJECTID,zipcode,Rank,Neighborho,IRS_Ratio,HH_Size,Per_White,Per_Colleg,Rent,Index_Scor,IRS_Rati_1,IRS_Rati_2,HH_Incom_2,HH_Size_20,HH_Size_21,Percent_Wh,Percent__1,College_Pe,College__1,Gross_Rent,Gross_Re_1,MedInc4,HHChangAdj,Population,Populati_1,Populati_2,Evaluated
37,90041,51,Eagle Rock,-30.104,-0.355,0.339,11.944,27.504,0.374849079,0.628,0.439,64545,2.82,2.81,30.06,30.4,31.07,43.01,940,1199,66592.48403,-3.07464732668,27864,28439,2.1,Yes
38,90042,14,Highland Park/Montecito Heights,-43.971,-6.422,2.485,8.266,35.832,0.496,2.154,1.207,51427,3.27,3.06,12.44,14.92,17.03,25.29,861,1169,49579.70528,3.72590903792,64660,61034,-5.6,Yes
39,90043,64,Hyde Park,-23.007,-5.694,1.061,1.109,23.799,0.347465267,1.995,1.536,38738,2.81,2.65,2.59,3.65,19.79,20.9,830,1028,46837.03913,-17.2919537196,44761,43118,-3.7,Yes
40,90044,43,Vermont Vista/Vermont Knowles/Vermont Slauson,-37.141,-4.225,0.031,3.477,28.3,0.380638725,14.671,9.222,28344,3.55,3.4,1.11,1.14,4.81,8.29,769,986,30370.04407,-6.67119239383,87366,88412,1.2,Yes
41,90045,53,Westchester,-17.085,1.261,-0.975,11.399,42.277,0.37338851,0.236,0.196,78082,2.38,2.41,52.17,51.2,41.33,52.73,1188,1690,77765.23982,0.407328750909,39315,41453,5.4,Yes
42,90046,29,Hollywood/Hollywood Hills West/Bevelry Grove,-17.73,1.163,-5.839,10.629,32.02,0.414,0.472,0.388,56337,1.72,1.74,80.87,75.03,48.41,59.04,1063,1403,51413.64846,9.57596219578,49831,51329,3,Yes
43,90047,67,Manchester Square/Chesterfield Square,-31.418,-2.99,0.068,4.629,21.456,0.342877305,3.833,2.629,40528,3.01,2.92,1.11,1.18,10.97,15.6,883,1072,48312.16734,-16.1122296278,47105,46999,-0.2,Yes
44,90048,27,Beverly Grove,-15.422,4.598,-3.125,15.226,25.423,0.424,0.243,0.206,72913,1.74,1.82,80.69,77.56,50.93,66.15,1351,1695,64868.52245,12.4012036134,21724,22409,3.2,Yes
45,90049,78,Brentwood,5.687,5.025,-4.254,7.784,18.611,0.321934404,0.076,0.08,116732,1.99,2.09,84.38,80.13,70.03,77.81,1578,1872,115950.85134,0.673689456328,33520,35262,5.2,Yes
46,90056,104,Westchester,7.841,0,-4.293,5.013,24.232,0.247346037,0.252,0.272,76688,2.36,2.36,16.31,12.02,49.8,54.82,1177,1462,99248.77061,-22.7315365937,8108,8380,3.4,Yes
