 ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autopartssupplies,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cannabis_clinics,cannabisdispensaries,carshares,cocktailbars,coffee,coffeeroasteries,cyclingclasses,divebars,dog_parks,doulas,empanadas,foodbanks,galleries,hairstylists,healthmarkets,homelessshelters,intlgrocery,juicebars,kombucha,mexican,movietheaters,musicvenues,organic_stores,paintandsip,pawn,pets,pubs,skate_parks,tattoo,thrift_stores
78652,69831.00,95996.54,70868.00,-0.26,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
78653,50260.00,69092.32,62415.00,-0.10,N,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0
78660,65978.00,90699.83,75138.00,-0.17,N,0,0,9,4,11,0,5,0,0,0,0,7,0,5,1,0,0,7,0,3,0,3,0,0,0,0,13,17,0,4,0,15,1,0,0,1,0,0,2,2,0,0,0,0
78664,59829.00,82246.81,61673.00,-0.25,N,0,0,6,7,10,0,6,0,0,1,0,7,2,6,2,1,0,7,0,1,2,0,0,0,0,0,11,15,0,2,0,24,0,0,1,4,3,2,3,3,0,0,2,1
78681,74889.00,102949.76,96086.00,-0.07,N,0,0,4,0,3,1,3,0,0,0,0,5,1,4,0,1,0,5,0,0,1,0,0,0,1,0,9,11,2,1,0,14,0,0,0,0,0,0,1,1,0,0,0,0
78701,35757.00,49155.08,87306.00,0.78,Y,0,0,2,0,6,0,84,0,2,3,0,2,3,17,0,12,0,24,0,0,15,0,0,0,11,0,7,15,2,7,0,26,41,0,1,2,3,1,6,0,6,2,0,8
78702,23348.00,32096.45,37690.00,0.17,Y,0,0,3,6,5,0,17,0,0,3,0,10,2,9,3,5,0,18,0,0,9,1,0,0,31,0,2,14,2,5,0,37,7,0,0,5,2,0,12,2,6,0,6,0
78703,54591.00,75046.14,81903.00,0.09,N,0,0,0,0,5,4,4,0,2,0,3,1,0,3,1,0,0,9,2,0,2,2,0,0,9,0,12,15,0,3,0,9,2,1,0,1,10,0,1,0,2,0,1,1
78704,35733.00,49122.08,52306.00,0.06,N,2,1,13,17,10,2,17,2,2,8,0,8,5,13,3,0,0,32,0,3,6,1,3,0,16,1,15,21,2,6,0,59,13,0,2,5,6,0,18,5,8,3,15,4
78705,14740.00,20263.05,12786.00,-0.37,N,0,0,0,0,4,0,6,0,0,4,0,0,1,6,0,8,1,18,0,0,0,0,0,0,0,2,3,8,0,5,0,14,6,0,0,1,2,0,6,1,3,0,2,0
78717,87290.00,119997.39,99541.00,-0.17,N,0,0,3,0,4,0,3,0,0,3,0,1,1,3,0,2,0,5,0,0,0,0,0,0,1,1,7,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0
78719,36480.00,50148.98,38875.00,-0.22,N,0,0,2,0,0,0,2,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
78721,26646.00,36630.20,36698.00,0.00,N,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
78722,35794.00,49205.94,54526.00,0.11,Y,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,1,0,1,0,6,0,0,0,0,0,0,1,0,0,1,0,0
78723,34242.00,47072.41,42615.00,-0.09,N,0,0,4,1,6,1,1,0,0,0,0,1,0,1,0,3,0,5,0,2,0,0,0,0,3,0,2,1,0,0,0,18,0,0,0,2,0,0,3,2,0,0,0,0
78724,36641.00,50370.31,36776.00,-0.27,N,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
78725,47076.00,64715.28,65048.00,0.01,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78726,89891.00,123572.98,68777.00,-0.44,N,0,0,1,2,3,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
78727,62648.00,86122.08,69699.00,-0.19,N,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,1,3,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0
78728,51078.00,70216.83,49521.00,-0.29,N,1,1,4,6,1,0,3,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0
78729,59497.00,81790.41,60567.00,-0.26,N,0,0,4,0,2,0,1,0,0,1,0,7,0,0,0,1,0,3,0,0,1,0,0,0,1,2,4,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0
78730,128524.00,176681.69,108421.00,-0.39,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
78731,62404.00,85786.65,79315.00,-0.08,N,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,5,0,0,1,0,0,0,4,0,5,2,0,1,0,5,0,0,0,0,4,0,0,1,0,0,0,0
78732,103951.00,142901.23,128397.00,-0.10,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1
78733,102239.00,140547.75,127250.00,-0.09,N,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
