 ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autopartssupplies,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cannabis_clinics,cannabisdispensaries,carshares,cocktailbars,coffee,coffeeroasteries,cyclingclasses,divebars,dog_parks,doulas,empanadas,foodbanks,galleries,hairstylists,healthmarkets,homelessshelters,intlgrocery,juicebars,kombucha,mexican,movietheaters,musicvenues,organic_stores,paintandsip,pawn,pets,pubs,skate_parks,tattoo,thrift_stores
97220,39649.00,54505.40,46908.00,-0.14,N,0,0,9,0,0,2,4,0,4,0,1,5,4,0,0,9,0,0,3,0,0,0,0,0,0,0,1,2,0,13,0,0,0,0,3,1,1,0,2,0,0,0,1,0
97221,65229.00,89670.18,92174.00,0.03,N,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97222,40899.00,56223.77,49558.00,-0.12,N,0,0,0,0,0,1,2,0,5,0,3,1,0,0,0,15,0,0,0,0,0,0,1,1,1,0,0,0,0,10,0,0,0,0,0,3,0,0,4,1,1,0,1,1
97223,52527.00,72208.76,65109.00,-0.10,N,0,0,4,0,0,2,5,0,0,3,2,2,0,0,0,24,0,0,0,3,0,0,2,3,2,0,1,2,0,14,0,1,0,1,2,8,0,1,5,0,0,0,2,0
97225,53020.00,72886.49,72010.00,-0.01,N,0,0,2,0,0,0,2,2,3,0,1,0,1,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,2,0
97227,27432.00,37710.72,44342.00,0.18,Y,0,1,8,1,0,4,1,0,6,3,6,1,0,0,1,7,1,0,2,0,0,0,3,0,0,0,0,0,0,8,0,6,1,0,0,5,0,0,0,0,3,0,3,2
97229,70082.00,96341.59,98303.00,0.02,N,0,1,0,0,0,0,3,1,2,0,0,0,0,0,0,8,0,1,2,1,0,0,1,0,2,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,1,0,4,3
97230,41262.00,56722.79,46237.00,-0.18,N,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3,0,0,0,0,0
97231,65164.00,89580.82,85481.00,-0.05,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97232,35755.00,49152.33,45671.00,-0.07,N,0,2,9,0,0,1,6,3,10,1,5,7,1,0,5,34,0,1,6,0,2,0,5,0,2,0,0,1,0,11,0,2,0,0,0,3,0,0,7,0,7,2,7,5
97233,35291.00,48514.47,39150.00,-0.19,N,0,0,4,0,0,0,3,0,0,0,2,1,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,3,1,0,0,0,0,0,0,0,0
97236,43515.00,59819.98,40907.00,-0.32,N,0,0,5,0,0,0,2,0,0,0,1,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,2,0,0,3,3,0,0,0,0,0,0,1,0
97266,37234.00,51185.51,36772.00,-0.28,N,0,0,5,0,0,2,14,0,2,0,1,5,2,0,0,11,0,0,3,0,0,0,0,0,0,0,3,3,0,25,0,0,0,0,1,2,0,0,4,0,2,0,1,0
11201,56293.00,77385.88,98775.00,0.28,N,0,0,0,14,5,17,2,0,3,1,2,0,13,0,15,7,48,0,2,1,2,3,1,0,24,15,3,2,1,0,12,19,0,2,0,2,0,10,0,5,0,0,3,4
11203,37341.00,51332.60,46630.00,-0.09,N,0,0,3,6,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0
11204,31798.00,43712.65,45593.00,0.04,N,0,0,0,8,0,0,0,0,0,2,3,0,0,0,5,0,8,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,4,0,1
11205,28070.00,38587.77,47050.00,0.22,N,0,0,0,5,0,9,0,2,5,0,3,0,8,0,8,2,16,1,0,0,1,0,2,0,5,2,2,0,0,0,0,11,1,0,0,0,0,0,0,6,0,2,0,0
11206,18661.00,25653.24,30686.00,0.20,Y,0,0,2,15,0,15,1,0,5,0,0,1,5,0,7,3,27,0,0,0,2,0,0,2,8,6,4,2,0,0,9,16,8,0,0,0,0,2,0,3,0,4,0,7
11207,24163.00,33216.83,33816.00,0.02,N,0,0,5,7,0,2,0,0,0,0,3,0,8,0,3,0,7,0,0,0,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0
11208,27078.00,37224.07,34527.00,-0.07,N,0,0,2,5,0,2,0,0,0,0,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,2,1,1,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0
11209,44518.00,61198.81,59934.00,-0.02,N,0,0,3,12,0,8,0,0,2,1,2,0,14,0,9,3,26,0,0,0,2,1,0,0,1,10,2,3,0,0,7,10,0,0,0,2,0,0,0,8,0,3,0,0
11210,42967.00,59066.65,56052.00,-0.05,N,0,0,1,7,0,1,0,0,1,1,2,0,0,0,3,0,8,0,0,0,0,0,0,0,0,2,3,3,0,0,4,4,0,0,0,2,0,0,0,0,0,1,0,0
11211,23567.00,32397.51,50943.00,0.57,Y,0,0,2,15,1,59,0,1,8,0,4,0,24,2,15,12,47,0,1,0,8,3,0,0,19,13,6,4,0,0,14,37,15,0,0,0,1,5,0,8,0,15,0,7
11212,20839.00,28647.33,28146.00,-0.02,N,0,0,0,2,0,1,0,0,1,0,2,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1
11213,26366.00,36245.29,34804.00,-0.04,N,0,0,1,4,0,0,0,0,1,1,1,0,0,0,2,2,6,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0
11214,33765.00,46416.68,45838.00,-0.01,N,0,1,2,13,0,2,0,0,0,1,3,0,0,0,3,0,16,0,0,0,0,0,0,0,1,6,3,2,0,0,3,6,0,0,0,0,0,0,0,0,0,2,2,0
11215,53313.00,73289.28,99040.00,0.35,N,0,0,3,17,0,21,1,1,7,0,11,3,16,1,13,8,32,1,0,0,5,2,0,1,15,11,10,2,0,0,12,30,9,0,1,0,0,8,0,11,0,5,2,5
11216,25135.00,34553.03,45566.00,0.32,N,0,0,1,9,0,8,0,0,2,1,1,0,8,0,7,5,23,0,0,0,1,0,0,0,3,3,8,3,1,0,9,5,3,1,0,0,0,1,0,1,0,4,1,0
11217,49567.00,68139.66,85199.00,0.25,N,0,0,0,13,1,17,0,0,4,0,0,0,10,0,4,5,15,0,1,0,1,0,0,0,3,11,9,1,0,0,4,11,0,1,0,1,0,7,0,9,2,2,1,5
11218,36432.00,50083.00,54441.00,0.09,N,0,0,3,7,0,4,0,0,1,0,9,3,9,0,6,3,15,0,0,0,1,1,0,0,0,4,2,2,0,0,2,21,0,0,0,0,0,0,0,2,0,0,0,0
11219,26648.00,36632.95,35083.00,-0.04,N,0,0,2,4,0,3,0,1,0,1,8,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
11220,30152.00,41449.89,38052.00,-0.08,N,0,1,6,10,0,3,0,0,0,0,2,1,2,0,6,0,29,0,0,0,2,1,0,0,2,2,2,2,0,1,0,34,0,0,0,0,0,0,0,2,0,3,0,4
11221,22305.00,30662.64,39785.00,0.30,Y,0,0,0,2,0,13,0,0,4,0,0,0,0,0,6,3,16,0,1,0,2,0,0,0,5,2,7,0,0,0,2,4,4,1,0,0,0,0,0,0,0,4,0,6
11222,33578.00,46159.61,66610.00,0.44,N,1,0,3,7,0,18,0,0,5,0,4,3,11,1,8,7,20,0,0,1,3,1,0,0,10,7,3,4,1,0,9,9,8,0,0,0,0,5,0,5,0,6,0,3
11223,32104.00,44133.30,40873.00,-0.07,N,0,0,1,9,0,0,0,0,0,0,8,0,0,0,11,0,13,0,0,0,1,0,0,0,0,8,0,1,0,0,4,10,0,0,2,0,0,0,0,2,0,3,0,3
11224,21281.00,29254.95,27011.00,-0.08,N,3,0,2,2,0,2,0,0,0,0,8,0,0,1,1,2,5,0,0,0,0,0,0,0,1,4,1,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
11225,30192.00,41504.88,43543.00,0.05,N,0,0,0,7,0,5,0,0,2,2,0,1,4,0,11,4,17,0,0,0,0,0,0,1,1,1,9,1,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0
11226,29498.00,40550.84,42182.00,0.04,N,0,0,2,5,0,2,0,1,0,1,0,0,0,0,2,0,16,0,0,0,0,0,1,0,2,5,5,3,0,0,9,14,1,0,0,0,0,0,0,1,0,6,0,2
11228,44932.00,61767.93,62821.00,0.02,N,0,1,1,4,0,1,0,0,0,1,1,0,3,0,0,0,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0
11229,37812.00,51980.08,51985.00,0.00,N,0,0,0,7,0,3,0,0,2,0,0,0,4,0,3,0,16,0,0,0,0,1,0,0,1,7,1,2,0,0,3,5,0,0,0,0,0,1,0,2,1,1,0,0
11230,32327.00,44439.86,41820.00,-0.06,N,0,0,2,5,0,2,0,0,0,0,8,0,0,0,4,0,9,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
11231,45154.00,62073.11,83383.00,0.34,N,0,0,0,7,0,8,0,0,3,0,4,1,0,2,5,5,18,1,0,2,4,1,1,0,11,5,1,0,0,0,1,11,2,0,1,0,0,5,0,4,0,2,0,0
11232,28395.00,39034.55,44583.00,0.14,N,0,0,5,5,0,2,0,0,1,0,7,0,0,0,2,1,11,0,0,1,0,0,0,0,3,2,0,0,0,0,0,14,2,1,0,1,0,0,0,0,0,2,0,1
11233,22754.00,31279.88,34432.00,0.10,Y,0,0,0,7,0,1,0,0,1,0,2,0,6,0,5,1,6,0,0,0,0,0,0,0,0,0,5,2,0,0,3,1,0,1,0,0,0,1,0,0,0,2,0,0
11234,51446.00,70722.71,67713.00,-0.04,N,0,0,4,9,0,3,0,0,0,0,2,0,3,0,2,1,7,0,0,0,0,0,0,0,0,4,5,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0
11235,31013.00,42633.51,42257.00,-0.01,N,0,1,2,7,0,6,0,0,2,0,1,0,0,0,12,0,15,0,0,0,2,0,0,0,0,8,6,3,0,1,2,3,0,0,0,0,0,2,0,0,0,3,1,0
11236,42370.00,58245.95,60135.00,0.03,N,0,0,3,7,0,0,0,0,0,1,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0
11237,23104.00,31761.02,42496.00,0.34,Y,0,0,3,8,0,21,0,0,3,0,0,0,7,1,10,13,24,1,0,0,3,1,0,0,8,1,1,0,0,0,3,49,4,1,0,0,0,0,1,2,1,10,1,10
11238,39917.00,54873.82,69491.00,0.27,N,0.00,0.00,1.00,7.00,0.00,33.00,0.00,0.00,2.00,2.00,2.00,0.00,16.00,2.00,9.00,7.00,29.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,10.00,7.00,3.00,0.00,0.00,6.00,19.00,5.00,1.00,0.00,0.00,0.00,5.00,0.00,2.00,0.00,2.00,1.00,0.00
11239,16919.00,23258.52,27886.00,0.20,Y,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
