RegionName,Median Price 2009,Inflated Median Price 2009,Median Price 2019,Percent Change
94530,"$537,750.00","$640,836.68","$901,150.00",40.62%
94534,"$290,500.00","$346,188.85","$529,200.00",52.86%
94536,"$421,500.00","$502,301.55","$941,600.00",87.46%
94539,"$818,100.00","$974,929.77","$1,459,600.00",49.71%
94541,"$239,450.00","$285,352.57","$633,400.00",121.97%
94544,"$243,600.00","$290,298.12","$624,850.00",115.24%
94545,"$245,550.00","$292,621.93","$674,850.00",130.62%
94546,"$412,450.00","$491,516.66","$741,650.00",50.89%
94547,"$316,750.00","$377,470.97","$551,500.00",46.10%
94550,"$444,350.00","$529,531.90","$829,150.00",56.58%
94560,"$337,300.00","$401,960.41","$851,850.00",111.92%
94563,"$918,150.00","$1,094,159.35","$1,472,900.00",34.61%
94564,"$286,000.00","$340,826.20","$571,200.00",67.59%
94566,"$718,250.00","$855,938.53","$1,203,350.00",40.59%
94568,"$448,800.00","$534,834.96","$868,500.00",62.39%
94577,"$315,150.00","$375,564.26","$661,350.00",76.10%
94580,"$311,650.00","$371,393.30","$657,150.00",76.94%
94585,"$185,150.00","$220,643.26","$410,650.00",86.11%
94588,"$588,050.00","$700,779.18","$1,007,150.00",43.72%
94589,"$127,400.00","$151,822.58","$392,450.00",158.49%
94590,"$100,400.00","$119,646.68","$365,650.00",205.61%
94591,"$220,100.00","$262,293.17","$438,450.00",67.16%
94603,"$105,100.00","$125,247.67","$475,850.00",279.93%
94608,"$250,550.00","$298,580.43","$669,750.00",124.31%
94619,"$326,800.00","$389,447.56","$773,500.00",98.61%
95003,"$599,100.00","$713,947.47","$845,500.00",18.43%
95008,"$614,100.00","$731,822.97","$1,244,150.00",70.01%
95014,"$967,100.00","$1,152,493.07","$1,857,000.00",61.13%
95020,"$357,750.00","$426,330.67","$764,950.00",79.43%
95023,"$257,400.00","$306,743.58","$579,050.00",88.77%
95032,"$896,950.00","$1,068,895.31","$1,755,850.00",64.27%
95035,"$418,700.00","$498,964.79","$973,800.00",95.16%
95050,"$514,900.00","$613,606.33","$1,166,600.00",90.12%
95110,"$290,000.00","$345,593.00","$762,700.00",120.69%
95112,"$352,550.00","$420,133.84","$823,600.00",96.03%
95116,"$262,050.00","$312,284.98","$672,450.00",115.33%
95118,"$500,250.00","$596,147.93","$1,078,650.00",80.94%
95120,"$838,050.00","$998,704.18","$1,494,500.00",49.64%
95121,"$392,200.00","$467,384.74","$836,550.00",78.99%
95124,"$592,250.00","$705,784.32","$1,215,900.00",72.28%
95125,"$616,250.00","$734,385.12","$1,307,950.00",78.10%
95126,"$459,150.00","$547,169.05","$984,550.00",79.94%
95129,"$743,250.00","$885,731.03","$1,592,150.00",79.76%
95131,"$454,800.00","$541,985.16","$1,021,300.00",88.44%
95132,"$466,750.00","$556,225.97","$1,091,700.00",96.27%
95135,"$635,500.00","$757,325.35","$868,800.00",14.72%
95136,"$462,250.00","$550,863.32","$900,800.00",63.53%
95204,"$86,800.00","$103,439.56","$263,450.00",154.69%
95205,"$55,150.00","$65,722.26","$206,800.00",214.66%
95209,"$175,100.00","$208,666.67","$351,700.00",68.55%
95307,"$143,750.00","$171,306.88","$296,700.00",73.20%
95336,"$154,900.00","$184,594.33","$388,750.00",110.60%
95337,"$205,650.00","$245,073.11","$453,300.00",84.97%
95340,"$107,450.00","$128,048.16","$259,150.00",102.38%
95356,"$184,450.00","$219,809.07","$339,400.00",54.41%
95360,"$124,350.00","$148,187.89","$298,000.00",101.10%
95367,"$169,200.00","$201,635.64","$339,200.00",68.22%
95368,"$158,450.00","$188,824.86","$341,350.00",80.78%
95380,"$124,200.00","$148,009.14","$301,900.00",103.97%
95382,"$198,550.00","$236,612.04","$358,350.00",51.45%
95391,"$311,800.00","$371,572.06","$594,100.00",59.89%
95451,"$190,100.00","$226,542.17","$279,450.00",23.35%
95501,"$226,750.00","$270,217.97","$264,600.00",-2.08%
95503,"$249,750.00","$297,627.08","$299,150.00",0.51%
95519,"$270,200.00","$321,997.34","$343,650.00",6.72%
95602,"$295,950.00","$352,683.61","$480,500.00",36.24%
95608,"$240,650.00","$286,782.60","$399,300.00",39.23%
95610,"$190,100.00","$226,542.17","$359,850.00",58.84%
95620,"$259,300.00","$309,007.81","$438,150.00",41.79%
95624,"$233,100.00","$277,785.27","$429,550.00",54.63%
95628,"$241,000.00","$287,199.70","$431,400.00",50.21%
95630,"$358,900.00","$427,701.13","$544,800.00",27.38%
95648,"$268,450.00","$319,911.86","$470,650.00",47.12%
95660,"$97,400.00","$116,071.58","$259,700.00",123.74%
95661,"$311,750.00","$371,512.47","$512,800.00",38.03%
95662,"$214,350.00","$255,440.89","$386,600.00",51.35%
95667,"$249,400.00","$297,209.98","$395,050.00",32.92%
95670,"$170,050.00","$202,648.58","$340,000.00",67.78%
95673,"$133,850.00","$159,509.04","$303,100.00",90.02%
95678,"$223,900.00","$266,821.63","$387,000.00",45.04%
95687,"$219,400.00","$261,458.98","$428,250.00",63.79%
95688,"$270,550.00","$322,414.43","$495,150.00",53.58%
95691,"$234,450.00","$279,394.07","$396,050.00",41.75%
95695,"$194,600.00","$231,904.82","$377,150.00",62.63%
95746,"$527,350.00","$628,442.99","$810,350.00",28.95%
