zip,Median House Value 2000,Median House Value 2014,% Change in House Value,Median Income 2000,Median Income 2014,% Change in Income,Median Rent 2000,Median Rent 2014,% Change in Rent,Outcome
94611,489300.0,812100.0,0.6597179644389944,68853.0,107577.0,0.56,799.0,1222.0,0.529,
95135,487400.0,771600.0,0.5830939679934346,96078.0,128654.0,0.34,1400.0,1825.0,0.304,
94121,484500.0,864200.0,0.7836945304437565,61776.0,70220.0,0.14,984.0,1522.0,0.547,
94403,483800.0,790300.0,0.6335262505167425,67152.0,95189.0,0.42,1210.0,1858.0,0.536,
94708,482300.0,867800.0,0.7992950445780634,103791.0,145610.0,0.4,1527.0,1988.0,0.302,
93924,480300.0,777100.0,0.6179471163855923,71053.0,92137.0,0.3,842.0,1779.0,1.113,
94574,478200.0,893500.0,0.8684650773734839,60964.0,81788.0,0.34,803.0,1582.0,0.97,
94924,478100.0,877400.0,0.8351809244927839,52772.0,73621.0,0.4,1159.0,1750.0,0.51,
92130,474100.0,845600.0,0.7835899599240667,93929.0,131166.0,0.4,1358.0,2001.0,0.473,
91356,471800.0,753600.0,0.5972869860110216,51420.0,69148.0,0.34,796.0,1246.0,0.565,
94938,467900.0,662900.0,0.4167557170335542,60769.0,96281.0,0.58,973.0,1693.0,0.74,
92075,467300.0,963500.0,1.0618446394179328,69057.0,90833.0,0.32,1114.0,1887.0,0.694,
92590,466700.0,758900.0,0.6260981358474395,26778.0,49423.0,0.85,549.0,868.0,0.581,
94707,466400.0,874100.0,0.8741423670668954,100590.0,136331.0,0.36,1076.0,1719.0,0.598,
94566,465400.0,808300.0,0.7367855608079071,90107.0,120401.0,0.34,1101.0,1638.0,0.488,
90048,463200.0,980800.0,1.1174438687392054,47185.0,72913.0,0.55,983.0,1695.0,0.724,
93066,462000.0,862600.0,0.8670995670995671,63043.0,75380.0,0.2,769.0,1347.0,0.752,
93067,460000.0,859400.0,0.8682608695652174,37227.0,75862.0,1.04,1125.0,1150.0,0.022,
95037,459600.0,614600.0,0.3372497824194952,82258.0,95435.0,0.16,1099.0,1631.0,0.484,
91403,458100.0,762300.0,0.6640471512770137,53596.0,75334.0,0.41,932.0,1563.0,0.677,
