,zip,Index Change,Percent_Change_House,Percent_Change_Rent,Percent_Change_Public_Transp,Percent_Change_Population,Percent_Change_White,Outcome
99,92336,1.07,0.641454545,1.316368638,-0.004,0.6764678940000001,0.099,1
100,96007,0.42,0.461283186,0.541586074,-0.004,0.072056075,0.022,0
101,91775,0.36,0.533568905,0.6914749659999999,0.013,0.08405190800000001,-0.134,0
102,95762,0.07,0.565463918,0.610662359,0.005,0.843830889,-0.093,0
103,92324,0.0,0.508653846,0.597738288,-0.001,0.111402736,0.168,0
104,92867,0.34,0.563943662,0.6734463279999999,-0.005,0.089333724,-0.027000000000000003,0
105,92270,0.51,0.53200883,0.97412481,0.0,0.416158047,-0.022,1
106,92530,0.12,0.38977368,0.819645733,0.002,0.34538090000000005,-0.097,0
107,94123,0.18,0.0,0.4824355970000001,0.043,0.114613806,-0.029,0
108,95002,2.48,0.7274233640000001,0.281779661,-0.019,-0.219924812,0.226,0
109,95954,0.28,0.226034309,0.464977645,0.009000000000000001,0.123207885,-0.015,0
110,94806,0.18,0.442056792,0.496839444,0.005,0.078644628,0.14400000000000002,0
111,90720,0.56,0.537037037,0.803833145,0.014,0.046746062000000005,-0.075,0
112,91104,0.81,0.556029233,0.8070921990000001,0.003,-0.000728237,0.153,1
113,90211,0.42,0.280819725,0.619178082,-0.001,-0.028028389,-0.01,0
114,92117,0.41,0.6373390560000001,0.594219653,0.012,0.039099272,-0.017,0
115,93243,0.46,0.14531835199999998,0.145802651,0.054000000000000006,0.399511798,0.126,0
116,92692,0.27,0.417221937,0.653393665,-0.002,0.059662411,-0.013,0
117,92352,0.32,0.33994528,0.314864865,-0.006999999999999999,-0.307291667,-0.026,0
118,95012,-0.05,0.350364964,0.42189781,-0.004,0.22284513,0.28300000000000003,0
119,93610,0.49,0.627358491,0.805019305,0.001,0.245988753,0.13699999999999998,0
120,91406,0.56,0.5859697389999999,0.6642120770000001,0.027000000000000003,0.06968286,-0.06,0
121,92508,0.27,0.604044357,0.797504798,0.003,1.134115039,-0.03,0
122,92392,0.21,0.307835821,0.998368679,-0.004,-0.107025369,0.036000000000000004,1
123,93591,0.09,0.457722661,0.516960651,-0.002,-0.03202952,-0.084,0
124,90019,0.74,0.715930902,0.7679127729999999,0.028,0.001422012,0.14300000000000002,0
125,91701,0.21,0.411909147,0.5965317920000001,0.003,0.045243887,0.023,0
126,93257,0.24,0.380898876,0.5379999999999999,-0.006,0.150079326,0.251,0
127,93463,0.42,0.52427686,0.701631702,-0.01,0.023923445,-0.05,0
128,92201,0.3,0.491881566,0.548701299,0.0,0.135338212,-0.029,0
129,96143,0.41,0.735708368,0.431686047,-0.054000000000000006,-0.197209496,0.16,0
130,92311,0.19,0.369463869,0.484435798,-0.001,0.049819333,0.042,0
131,92313,-0.23,0.351750973,0.491740788,-0.001,0.113008721,-0.038,0
