zip,Average Education Index 2000,Average Education Index 2014,Index Change,Median Cost for House 2000,Median Cost for House 2014,Change in Cost for House,Median Income 2000,Median Income 2014,Income Change,Median Rent 2000,Median Rent 2014,Rent Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Take Public Transp % Change,Total Population % in 2000,Total Population % in 2014,Total Population % Change,White Population % in 2000,White Population % in 2014,White Population % Change,Outcome
92602,15.89,15.56,-0.33000000000000007,2403.0,3045.0,642.0,112399.0,104149.0,-8250.0,2001.0,1838.0,-163.0,0.005,0.013999999999999999,0.008999999999999998,2754.0,23529.0,20775.0,0.46299999999999997,0.425,-0.03799999999999998,
92122,15.88,16.33,0.4499999999999975,1641.0,2459.0,818.0,52039.0,71307.0,19268.0,1133.0,1739.0,606.0,0.028999999999999998,0.07200000000000001,0.04300000000000001,34891.0,44602.0,9711.0,0.74,0.605,-0.135,
90274,15.88,16.23,0.34999999999999964,3362.0,4001.0,639.0,117979.0,156250.0,38271.0,1489.0,2001.0,512.0,0.009000000000000001,0.003,-0.006000000000000001,24976.0,25482.0,506.0,0.768,0.6990000000000001,-0.06899999999999995,
94065,15.86,16.24,0.379999999999999,2762.0,3544.0,782.0,104958.0,132462.0,27504.0,1900.0,2001.0,101.0,0.036000000000000004,0.048,0.011999999999999997,10656.0,11585.0,929.0,0.627,0.526,-0.10099999999999998,
90266,15.86,16.17,0.3100000000000023,2823.0,4001.0,1178.0,100761.0,142071.0,41310.0,1359.0,1987.0,628.0,0.004,0.018000000000000002,0.014000000000000002,33742.0,35534.0,1792.0,0.89,0.8270000000000001,-0.06299999999999994,
90024,15.86,16.19,0.33000000000000185,3905.0,4001.0,96.0,47573.0,59125.0,11552.0,1183.0,1862.0,679.0,0.044000000000000004,0.049,0.0049999999999999975,44141.0,50117.0,5976.0,0.645,0.607,-0.038000000000000034,
94611,15.85,16.22,0.3699999999999992,2413.0,3447.0,1034.0,68853.0,107577.0,38724.0,799.0,1222.0,423.0,0.147,0.16699999999999998,0.01999999999999999,36508.0,37225.0,717.0,0.716,0.693,-0.02300000000000002,
94549,15.85,16.22,0.3699999999999992,2597.0,4001.0,1404.0,101555.0,137344.0,35789.0,1065.0,1616.0,551.0,0.122,0.163,0.04100000000000001,23995.0,28298.0,4303.0,0.871,0.8390000000000001,-0.03199999999999992,
95014,15.82,16.46,0.6400000000000006,2487.0,3799.0,1312.0,100020.0,130961.0,30941.0,1657.0,2001.0,344.0,0.01,0.021,0.011000000000000001,54412.0,62478.0,8066.0,0.5,0.31,-0.19,
92067,15.81,16.51,0.7000000000000011,4001.0,4001.0,0.0,196298.0,119939.0,-76359.0,2001.0,2001.0,0.0,0.009000000000000001,0.004,-0.005000000000000001,7601.0,9020.0,1419.0,0.929,0.924,-0.0050000000000000044,
94904,15.77,15.97,0.20000000000000107,3190.0,4001.0,811.0,82528.0,102237.0,19709.0,1217.0,1725.0,508.0,0.102,0.084,-0.017999999999999988,11999.0,12271.0,272.0,0.927,0.879,-0.04800000000000004,
91011,15.75,16.26,0.5100000000000016,2863.0,4001.0,1138.0,109802.0,152210.0,42408.0,1144.0,2001.0,857.0,0.006,0.006,0.0,20187.0,20671.0,484.0,0.75,0.6829999999999999,-0.06700000000000006,
90254,15.75,15.92,0.16999999999999993,2582.0,3737.0,1155.0,81352.0,105029.0,23677.0,1146.0,1865.0,719.0,0.01,0.012,0.002,18682.0,19725.0,1043.0,0.8959999999999999,0.875,-0.020999999999999908,
94114,15.72,16.48,0.7599999999999998,2632.0,3918.0,1286.0,75727.0,122970.0,47243.0,1122.0,1844.0,722.0,0.324,0.36700000000000005,0.04300000000000004,30574.0,32229.0,1655.0,0.8290000000000001,0.799,-0.030000000000000027,
92131,15.72,15.91,0.1899999999999995,2024.0,2996.0,972.0,90811.0,119924.0,29113.0,1223.0,2001.0,778.0,0.006,0.008,0.002,29279.0,33868.0,4589.0,0.784,0.685,-0.09899999999999998,
92625,15.71,15.88,0.16999999999999993,3527.0,4001.0,474.0,100080.0,125735.0,25655.0,1364.0,2001.0,637.0,0.006999999999999999,0.008,0.0010000000000000009,13407.0,12572.0,-835.0,0.93,0.88,-0.050000000000000044,
93108,15.7,16.01,0.3100000000000023,3688.0,4001.0,313.0,101575.0,125272.0,23697.0,1267.0,2001.0,734.0,0.004,0.008,0.004,12737.0,12119.0,-618.0,0.937,0.909,-0.028000000000000025,
94507,15.7,15.99,0.2900000000000009,3433.0,4001.0,568.0,139997.0,163219.0,23222.0,1426.0,2001.0,575.0,0.051,0.07200000000000001,0.02100000000000001,15186.0,15973.0,787.0,0.904,0.894,-0.010000000000000009,
94506,15.66,16.07,0.41000000000000014,3294.0,4001.0,707.0,142459.0,176241.0,33782.0,2001.0,2001.0,0.0,0.045,0.043,-0.0020000000000000018,19768.0,21896.0,2128.0,0.773,0.737,-0.03600000000000003,
94706,15.61,16.34,0.7300000000000004,1827.0,3043.0,1216.0,57153.0,81746.0,24593.0,963.0,1619.0,656.0,0.188,0.244,0.055999999999999994,15865.0,20206.0,4341.0,0.642,0.555,-0.08699999999999997,
92660,15.6,15.76,0.16000000000000014,3020.0,4001.0,981.0,98119.0,112008.0,13889.0,1424.0,2001.0,577.0,0.008,0.01,0.002,28672.0,35308.0,6636.0,0.915,0.857,-0.05800000000000005,
95120,15.58,15.81,0.23000000000000043,2598.0,3826.0,1228.0,120117.0,152721.0,32604.0,1872.0,2001.0,129.0,0.01,0.021,0.011000000000000001,37089.0,37673.0,584.0,0.708,0.631,-0.07699999999999996,
