zip,Average Education Index 2000,Median Income 2000,Inflated Median Income 2000,Median Rent 2000,Inflated Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
93923,15.27,67315.0,94194.01,1247.0,2800.0031019,0.003,13108.0,0.935
92075,15.27,69057.0,96631.59,1114.0,2640.4826853,0.034,12170.0,0.867
94025,15.26,89572.0,125338.27,1324.0,2564.9203827,0.039,39061.0,0.741
90056,15.24,72193.0,101019.8,856.0,2045.7793778,0.02,8108.0,0.183
95129,15.21,79489.0,111229.11,1282.0,2465.5699478,0.021,37565.0,0.498
90405,15.21,50540.0,70720.72,741.0,2164.7200393,0.032,26089.0,0.785
94530,15.21,56905.0,79627.27,905.0,2042.9807739999999,0.20600000000000002,23121.0,0.581
91361,15.2,86646.0,121243.91,1198.0,2669.8680252,0.005,18724.0,0.905
92679,15.19,112998.0,158118.32,1301.0,2737.0345164,0.006,32267.0,0.875
90036,15.19,47746.0,66811.07,1043.0,2543.9308542,0.040999999999999995,32885.0,0.7
94956,15.17,50673.0,70906.83,933.0,1364.3193525,0.024,1874.0,0.9159999999999999
91377,15.17,89561.0,125322.88,1480.0,2800.0031019,0.006,14809.0,0.88
91711,15.17,66663.0,93281.66,787.0,1882.0610555,0.026000000000000002,34715.0,0.735
92009,15.16,76368.0,106861.89,1176.0,2581.7120055,0.019,43155.0,0.888
92118,15.16,66489.0,93038.18,1024.0,2800.0031019,0.027000000000000003,24085.0,0.8440000000000001
94010,15.14,82188.0,115005.82,1119.0,2247.2788514,0.063,40328.0,0.7559999999999999
94502,15.14,87855.0,122935.67,1568.0,2800.0031019,0.153,13980.0,0.535
92606,15.13,71155.0,99567.33,1368.0,2653.0764024,0.004,17619.0,0.496
94037,15.11,93859.0,131337.08,1473.0,2303.2509274,0.079,2332.0,0.9
94583,15.1,95588.0,133756.47,1387.0,2406.7992679999998,0.049,44076.0,0.772
94596,15.1,64389.0,90099.65,1010.0,1999.6024151,0.162,40916.0,0.82
94924,15.1,52772.0,73843.96,1159.0,2448.7783249999998,0.005,1560.0,0.9159999999999999
94703,15.1,43640.0,61065.53,718.0,1823.2903757,0.225,19743.0,0.504
95762,15.09,91529.0,128076.7,1238.0,2790.2079886,0.012,22021.0,0.905
94062,15.09,96677.0,135280.31,1125.0,2178.7130583,0.031,25563.0,0.8690000000000001
91604,15.08,60299.0,84376.51,919.0,2343.8306825,0.015,26137.0,0.856
90068,15.08,52890.0,74009.08,818.0,2019.1926417,0.027999999999999997,21713.0,0.815
90277,15.06,68263.0,95520.55,1060.0,2465.5699478,0.012,34174.0,0.838
94973,15.06,60833.0,85123.73,994.0,1737.9329598,0.018000000000000002,1434.0,0.9440000000000001
94002,15.05,80973.0,113305.67,1114.0,2219.2928134,0.037000000000000005,25548.0,0.752
91024,15.05,65862.0,92160.82,836.0,2001.0017169999999,0.013999999999999999,10545.0,0.857
95746,15.05,100986.0,141309.9,1118.0,2451.5769288,0.001,20663.0,0.9079999999999999
92887,15.04,103926.0,145423.85,1278.0,2542.5315523,0.004,20876.0,0.7709999999999999
94127,15.04,95313.0,133371.66,1110.0,2800.0031019,0.212,20624.0,0.622
94040,15.04,69087.0,96673.57,1208.0,2355.0250977,0.066,32132.0,0.654
94115,15.04,54879.0,76792.29,1015.0,2280.862097,0.33899999999999997,33115.0,0.598
90210,15.03,112572.0,157522.21,1307.0,2800.0031019,0.027000000000000003,21396.0,0.883
91364,15.03,79414.0,111124.16,1170.0,2532.736439,0.013000000000000001,25985.0,0.851
92128,15.01,66676.0,93299.85,1159.0,2402.6013623,0.008,42728.0,0.784
92127,15.01,75219.0,105254.09,1190.0,2567.7189865,0.016,20032.0,0.765
92663,14.99,66978.0,93722.44,1118.0,2479.5629668,0.006,22123.0,0.9179999999999999
91301,14.99,88725.0,124153.06,1221.0,2749.6282335,0.006999999999999999,25302.0,0.87
94930,14.98,60971.0,85316.84,1108.0,2188.5081716,0.081,8476.0,0.915
94111,14.98,56569.0,79157.11,1173.0,2800.0031019,0.162,3335.0,0.644
92610,14.98,88710.0,124132.07,1209.0,2471.1671554,0.004,10934.0,0.7440000000000001
90069,14.98,51215.0,71665.25,898.0,2196.903983,0.023,20395.0,0.873
94552,14.97,105393.0,147476.63,1204.0,2800.0031019,0.07400000000000001,13202.0,0.578
91403,14.96,53596.0,74996.98,932.0,2187.1088697,0.026000000000000002,22079.0,0.82
94070,14.96,89016.0,124560.26,1188.0,2332.6362673,0.037000000000000005,28079.0,0.848
92129,14.95,77851.0,108937.05,975.0,2374.6153243,0.013000000000000001,47217.0,0.627
94588,14.94,92644.0,129636.93,1364.0,2597.1043264,0.05,28557.0,0.764
92109,14.94,45202.0,63251.24,872.0,2005.1996227,0.025,46071.0,0.8740000000000001
93109,14.93,56898.0,79617.48,1218.0,2800.0031019,0.033,10966.0,0.8540000000000001
94107,14.93,61362.0,85863.96,1050.0,2800.0031019,0.188,17368.0,0.624
94402,14.93,82796.0,115856.6,1220.0,2252.876059,0.062,23373.0,0.745
92108,14.93,42626.0,59646.64,947.0,2434.7853059999998,0.027000000000000003,11640.0,0.7509999999999999
92604,14.92,71779.0,100440.49,1216.0,2472.5664573,0.01,27359.0,0.6779999999999999
92106,14.92,62121.0,86926.03,778.0,2238.88304,0.009000000000000001,18505.0,0.895
95318,14.91,38750.0,54222.95,376.0,1479.0621083,0.057,575.0,0.882
95765,14.91,83095.0,116274.99,1125.0,1971.6163771,0.006,15476.0,0.866
94595,14.91,51418.0,71949.31,1132.0,1924.0401125,0.092,18019.0,0.9259999999999999
95864,14.9,59570.0,83356.41,766.0,1793.9050358,0.017,23355.0,0.873
92677,14.9,80146.0,112148.45,1208.0,2546.729458,0.009000000000000001,62099.0,0.835
90025,14.89,47806.0,66895.03,958.0,2251.4767570999998,0.07200000000000001,41170.0,0.6609999999999999
95819,14.89,55811.0,78096.44,717.0,1828.8875833,0.039,15964.0,0.88
92103,14.89,39578.0,55381.57,710.0,1698.7525066,0.046,30186.0,0.855
90064,14.88,59923.0,83850.37,899.0,2364.820211,0.052000000000000005,24489.0,0.723
92124,14.88,59164.0,82788.3,1156.0,2800.0031019,0.01,30187.0,0.7070000000000001
90211,14.88,57746.0,80804.09,1095.0,2480.9622687,0.034,8313.0,0.8290000000000001
94043,14.88,68721.0,96161.43,1208.0,2363.4209091,0.034,27821.0,0.608
92656,14.87,74688.0,104511.06,1266.0,2598.5036283,0.011000000000000001,41222.0,0.7759999999999999
95003,14.87,68760.0,96216.0,1173.0,2436.1846079,0.015,24225.0,0.8959999999999999
92808,14.87,88329.0,123598.94,1330.0,2604.1008358999998,0.01,19612.0,0.687
91208,14.86,76034.0,106394.52,899.0,2184.3102659,0.009000000000000001,16909.0,0.7290000000000001
91106,14.84,46617.0,65231.26,790.0,1989.8073018,0.046,23725.0,0.5660000000000001
94041,14.83,67889.0,94997.21,1257.0,2429.1880984,0.033,13471.0,0.653
94118,14.82,61609.0,86209.59,1062.0,2332.6362673,0.315,38939.0,0.5670000000000001
95135,14.82,96078.0,134442.13,1400.0,2553.7259675,0.013999999999999999,15791.0,0.535
92007,14.82,62877.0,87983.91,1076.0,2583.1113074,0.026000000000000002,10366.0,0.863
91362,14.81,83750.0,117191.53,1150.0,2549.5280618,0.008,33039.0,0.855
92518,14.81,66161.0,92579.21,1529.0,2550.9273637,0.04,990.0,0.8640000000000001
91326,14.81,82310.0,115176.54,840.0,2500.5524953,0.018000000000000002,28049.0,0.6509999999999999
92024,14.8,63996.0,89549.72,943.0,2373.2160224,0.03,47113.0,0.866
95452,14.79,58421.0,81748.62,924.0,1863.8701308,0.024,1648.0,0.93
93105,14.78,57780.0,80851.66,1065.0,2301.8516255,0.023,25756.0,0.873
94517,14.77,96658.0,135253.72,1360.0,2643.2812891,0.084,14223.0,0.8740000000000001
91354,14.77,84858.0,118741.96,1294.0,2798.6038,0.024,17841.0,0.8270000000000001
91914,14.77,68771.0,96231.39,1375.0,2800.0031019,0.017,2601.0,0.596
93720,14.75,61797.0,86472.66,802.0,1856.8736213,0.002,45075.0,0.7829999999999999
90067,14.75,74830.0,104709.76,1605.0,2800.0031019,0.019,2524.0,0.862
92373,14.75,47970.0,67124.51,697.0,1585.4090527,0.011000000000000001,31228.0,0.807
91784,14.75,81460.0,113987.13,1189.0,2800.0031019,0.017,23312.0,0.789
91381,14.75,87112.0,121895.99,1098.0,2490.757382,0.01,9919.0,0.731
95138,14.73,103389.0,144672.42,1572.0,2800.0031019,0.017,14785.0,0.523
92692,14.73,82690.0,115708.27,1105.0,2556.5245713,0.011000000000000001,46210.0,0.828
91423,14.73,52662.0,73690.04,888.0,2076.5640196,0.02,29370.0,0.825
96140,14.71,58000.0,81159.51,908.0,2717.4442897999998,0.012,1928.0,0.9520000000000001
93908,14.7,85488.0,119623.52,927.0,2457.1741364,0.001,13020.0,0.81
94903,14.69,70758.0,99011.8,1217.0,2415.1950794,0.09,28401.0,0.846
93940,14.69,50274.0,70348.5,895.0,2010.7968303,0.027999999999999997,32840.0,0.8140000000000001
91207,14.68,62347.0,87242.28,796.0,1995.4045094,0.006999999999999999,9852.0,0.79
94086,14.67,71056.0,99428.8,1278.0,2306.0495312,0.05,63997.0,0.47700000000000004
