zip,Average Education Index 2014,Median Income 2014,Median Rent 2014,Take Public Transp % in 2014,Total Population % in 2014,White Population % in 2014
94107,15.86,120610.0,2001.0,0.262,27792.0,0.5920000000000001
94402,15.45,115807.0,1610.0,0.065,24306.0,0.7040000000000001
92108,15.28,65297.0,1740.0,0.051,19245.0,0.69
92604,15.22,91180.0,1767.0,0.024,28425.0,0.601
92106,15.21,81973.0,1600.0,0.022000000000000002,19539.0,0.85
95318,15.23,102872.0,1057.0,0.045,601.0,0.9
95765,14.85,87100.0,1409.0,0.006,36391.0,0.7829999999999999
94595,15.51,58659.0,1375.0,0.11800000000000001,16837.0,0.841
95864,15.42,83467.0,1282.0,0.015,22698.0,0.797
92677,15.23,98264.0,1820.0,0.012,64642.0,0.773
90025,15.44,71278.0,1609.0,0.106,45284.0,0.624
95819,15.7,87156.0,1307.0,0.046,18374.0,0.857
92103,15.49,65793.0,1214.0,0.037000000000000005,31927.0,0.853
90064,15.68,86573.0,1690.0,0.045,25788.0,0.7120000000000001
92124,14.98,80625.0,2001.0,0.01,30196.0,0.7190000000000001
90211,15.3,69942.0,1773.0,0.033,8080.0,0.8190000000000001
94043,15.52,100844.0,1689.0,0.047,29280.0,0.613
92656,15.18,101292.0,1857.0,0.01,51370.0,0.695
95003,15.09,83902.0,1741.0,0.013999999999999999,24383.0,0.898
92808,15.42,110964.0,1861.0,0.004,20137.0,0.693
91208,14.98,88955.0,1561.0,0.016,16548.0,0.765
91106,15.21,72192.0,1422.0,0.053,24861.0,0.605
94041,15.46,88810.0,1736.0,0.069,13551.0,0.665
94118,15.37,82993.0,1667.0,0.33299999999999996,40102.0,0.5770000000000001
95135,15.44,128654.0,1825.0,0.009000000000000001,21349.0,0.395
92007,15.31,93889.0,1846.0,0.011000000000000001,11782.0,0.9
91362,15.15,100747.0,1822.0,0.005,35564.0,0.8059999999999999
92518,14.09,68261.0,1823.0,0.065,1129.0,0.807
91326,15.01,98831.0,1787.0,0.022000000000000002,36024.0,0.5720000000000001
92024,15.18,92402.0,1696.0,0.017,49226.0,0.888
95452,14.58,78114.0,1332.0,0.10400000000000001,1314.0,0.9329999999999999
93105,15.29,81308.0,1645.0,0.031,24967.0,0.851
94517,14.89,121367.0,1889.0,0.081,12781.0,0.847
91354,15.04,111098.0,2000.0,0.027000000000000003,29034.0,0.695
91914,14.66,110343.0,2001.0,0.013999999999999999,16926.0,0.526
93720,14.57,77092.0,1327.0,0.006,46153.0,0.7170000000000001
90067,15.23,89500.0,2001.0,0.021,2364.0,0.83
92373,15.0,63948.0,1133.0,0.012,34017.0,0.7609999999999999
91784,14.65,95975.0,2001.0,0.019,26034.0,0.7559999999999999
91381,14.99,114608.0,1780.0,0.02,20296.0,0.6679999999999999
95138,15.13,145505.0,2001.0,0.027999999999999997,19136.0,0.428
92692,15.0,102045.0,1827.0,0.009000000000000001,48967.0,0.815
91423,15.24,75671.0,1484.0,0.03,32130.0,0.815
96140,14.68,72204.0,1942.0,0.049,1126.0,1.0
93908,14.61,113826.0,1756.0,0.0,12350.0,0.862
94903,14.87,86196.0,1726.0,0.091,30110.0,0.778
93940,15.01,67716.0,1437.0,0.045,33760.0,0.7909999999999999
91207,15.05,88929.0,1426.0,0.023,10334.0,0.7909999999999999
94086,15.36,100215.0,1648.0,0.06,47051.0,0.484
91367,15.12,77152.0,1756.0,0.023,42029.0,0.721
93950,15.05,70230.0,1447.0,0.004,15365.0,0.857
94946,14.8,113281.0,1406.0,0.011000000000000001,682.0,0.912
92835,15.01,92397.0,1388.0,0.022000000000000002,23378.0,0.67
92673,15.24,125629.0,2001.0,0.016,29875.0,0.816
94566,15.22,120401.0,1638.0,0.075,42523.0,0.701
93711,14.49,63934.0,1077.0,0.002,37630.0,0.7709999999999999
95831,14.61,68679.0,1131.0,0.043,41597.0,0.474
92688,14.88,100694.0,1689.0,0.012,45074.0,0.7809999999999999
91602,14.95,63544.0,1438.0,0.039,18315.0,0.745
95066,14.98,108919.0,1670.0,0.015,15095.0,0.862
94555,15.1,114603.0,1808.0,0.071,35654.0,0.21
90048,15.62,72913.0,1695.0,0.03,22409.0,0.818
90046,15.16,56337.0,1403.0,0.04,51329.0,0.8
92107,15.26,66825.0,1320.0,0.016,26947.0,0.912
90035,15.29,75327.0,1679.0,0.043,31399.0,0.7190000000000001
92629,15.1,88384.0,1843.0,0.017,26955.0,0.85
96145,14.72,68887.0,1340.0,0.062,3215.0,0.956
90401,15.4,60802.0,1552.0,0.034,7035.0,0.769
95134,15.88,114757.0,2001.0,0.04,16811.0,0.32899999999999996
92649,14.8,86469.0,1678.0,0.011000000000000001,32976.0,0.777
96141,14.81,57212.0,1221.0,0.08900000000000001,669.0,0.937
90505,14.85,82313.0,1534.0,0.017,37381.0,0.5770000000000001
95816,15.1,53002.0,897.0,0.045,16845.0,0.79
92120,14.8,79895.0,1435.0,0.022000000000000002,25365.0,0.8029999999999999
92354,14.67,63871.0,1098.0,0.011000000000000001,21555.0,0.47200000000000003
94938,15.32,96281.0,1693.0,0.08,884.0,0.853
