,Take Public Transp % in 2000,zip
685,1.8%,90604
686,1.8%,90815
687,1.8%,92126
688,1.8%,95556
689,1.7%,91784
690,1.7%,93212
691,1.7%,94019
692,1.7%,95130
693,1.7%,95684
694,1.7%,95758
695,1.7%,95864
696,1.7%,96032
697,1.7%,92835
698,1.7%,94038
699,1.7%,95138
700,1.7%,95624
701,1.7%,92071
702,1.7%,92243
703,1.7%,92501
704,1.7%,91914
705,1.7%,92026
706,1.7%,94022
707,1.7%,95673
708,1.7%,90601
709,1.7%,92239
710,1.7%,93254
711,1.7%,93950
712,1.7%,92227
713,1.7%,96001
714,1.7%,91344
715,1.7%,92201
716,1.7%,92281
717,1.7%,94087
718,1.6%,90605
719,1.6%,93432
720,1.6%,93727
721,1.6%,92127
722,1.6%,92868
723,1.6%,95661
724,1.6%,90712
725,1.6%,93675
726,1.6%,95472
727,1.6%,92374
728,1.6%,93240
729,1.6%,92040
730,1.6%,95448
731,1.6%,93626
732,1.6%,93906
733,1.6%,95829
734,1.6%,92139
735,1.6%,92651
736,1.5%,91905
737,1.5%,92509
738,1.5%,94937
739,1.5%,95334
740,1.5%,95446
741,1.5%,91604
742,1.5%,94558
743,1.5%,95531
744,1.5%,95409
745,1.5%,95465
746,1.5%,95682
747,1.5%,93609
748,1.5%,92557
749,1.5%,93239
750,1.5%,90278
751,1.5%,95003
752,1.5%,96019
753,1.5%,91384
754,1.5%,93063
755,1.5%,93309
756,1.5%,95667
757,1.5%,90638
758,1.5%,91307
759,1.5%,92003
760,1.5%,92260
761,1.5%,93030
762,1.5%,93953
763,1.5%,95337
764,1.5%,95659
765,1.4%,95135
766,1.4%,95678
767,1.4%,92880
768,1.4%,93291
769,1.4%,95023
770,1.4%,95662
771,1.4%,92220
772,1.4%,95630
773,1.4%,91024
774,1.4%,91741
775,1.4%,92252
776,1.4%,92630
777,1.4%,95231
778,1.4%,95945
779,1.4%,92029
780,1.4%,93065
781,1.4%,92359
782,1.4%,92508
783,1.4%,93256
784,1.4%,93427
785,1.4%,95350
786,1.4%,91506
787,1.4%,91710
788,1.4%,95131
789,1.4%,95210
790,1.4%,92653
791,1.4%,93560
792,1.4%,93660
793,1.3%,90292
794,1.3%,92398
795,1.3%,93308
796,1.3%,95336
797,1.3%,90603
798,1.3%,91364
799,1.3%,93402
800,1.3%,95928
801,1.3%,90808
802,1.3%,92548
803,1.3%,92879
804,1.3%,93921
805,1.3%,93023
806,1.3%,95338
807,1.3%,95354
808,1.3%,95405
809,1.3%,92129
810,1.3%,93960
811,1.3%,94514
812,1.3%,92352
813,1.3%,93022
814,1.3%,95258
815,1.3%,90049
816,1.3%,90703
817,1.3%,92028
818,1.3%,93033
819,1.3%,93111
820,1.3%,92236
821,1.3%,93306
822,1.3%,95468
823,1.3%,91913
824,1.3%,93238
825,1.2%,93257
826,1.2%,95219
827,1.2%,95965
828,1.2%,96140
829,1.2%,92530
830,1.2%,92649
831,1.2%,92870
832,1.2%,93722
833,1.2%,96094
834,1.2%,90630
835,1.2%,92571
836,1.2%,94933
837,1.2%,93668
838,1.2%,90277
839,1.2%,93434
840,1.2%,93436
841,1.2%,95464
842,1.2%,95762
843,1.2%,95776
844,1.2%,96002
845,1.2%,92316
846,1.2%,95843
847,1.2%,90245
848,1.2%,91701
849,1.2%,92386
850,1.2%,95010
851,1.2%,95355
852,1.2%,96103
853,1.2%,92120
854,1.2%,93004
855,1.2%,95032
856,1.2%,93461
857,1.1%,91436
858,1.1%,91367
859,1.1%,95973
860,1.1%,90713
861,1.1%,91030
862,1.1%,92543
863,1.1%,92656
864,1.1%,92692
865,1.1%,95132
866,1.1%,96021
867,1.1%,90503
868,1.1%,90623
869,1.1%,95722
870,1.1%,95695
871,1.1%,92373
872,1.1%,95703
873,1.1%,90272
874,1.1%,92661
875,1.1%,92662
876,1.1%,93268
877,1.1%,93638
878,1.1%,92308
879,1.1%,93463
880,1.1%,95982
881,1.1%,95970
882,1.0%,93551
883,1.0%,95014
884,1.0%,95961
885,1.0%,90715
886,1.0%,92392
887,1.0%,92604
888,1.0%,92808
889,1.0%,95968
890,1.0%,92124
891,1.0%,92821
892,1.0%,92881
893,1.0%,93620
894,1.0%,95330
895,1.0%,92363
896,1.0%,93230
897,1.0%,95120
898,1.0%,95212
899,1.0%,93041
900,1.0%,93274
901,1.0%,95658
902,1.0%,95677
903,1.0%,96069
904,1.0%,90275
905,1.0%,91381
906,1.0%,92064
907,1.0%,93035
908,1.0%,95356
909,1.0%,92612
910,1.0%,92688
911,1.0%,94571
912,1.0%,91105
913,1.0%,95307
914,1.0%,95380
915,1.0%,95747
916,1.0%,95946
917,1.0%,96091
918,1.0%,92883
919,1.0%,95006
920,1.0%,96027
921,1.0%,90254
922,1.0%,93536
923,0.9%,92544
924,0.9%,92590
925,0.9%,93277
926,0.9%,91208
927,0.9%,92203
928,0.9%,92657
929,0.9%,93311
930,0.9%,95466
931,0.9%,90293
932,0.9%,92882
933,0.9%,93927
934,0.9%,95070
935,0.9%,90274
936,0.9%,92067
937,0.9%,92223
938,0.9%,93021
939,0.9%,94024
940,0.9%,95370
941,0.9%,95415
942,0.9%,95492
943,0.9%,95528
944,0.9%,92677
945,0.9%,92691
946,0.9%,90720
947,0.9%,90732
948,0.9%,92555
949,0.9%,93514
950,0.9%,95315
951,0.9%,95623
952,0.9%,95693
953,0.9%,92019
954,0.9%,92106
955,0.9%,92242
956,0.9%,92587
957,0.9%,93003
958,0.9%,93926
959,0.9%,94599
960,0.9%,95223
961,0.9%,95301
962,0.9%,95340
963,0.9%,95450
964,0.9%,95631
965,0.9%,95686
966,0.9%,95709
967,0.9%,91214
968,0.9%,92782
969,0.9%,93612
970,0.9%,95503
971,0.9%,96137
972,0.9%,90077
973,0.9%,92211
974,0.9%,92273
975,0.9%,92807
976,0.9%,93292
977,0.9%,93455
978,0.9%,95209
979,0.9%,95627
980,0.8%,90740
981,0.8%,92313
982,0.8%,95901
983,0.8%,95969
984,0.8%,92545
985,0.8%,92660
986,0.8%,93270
987,0.8%,95215
988,0.8%,95663
989,0.8%,92708
990,0.8%,93201
991,0.8%,93591
992,0.8%,95932
993,0.8%,95445
994,0.8%,95687
995,0.8%,90505
996,0.8%,92078
997,0.8%,92270
998,0.8%,92277
999,0.8%,95441
1000,0.8%,95993
1001,0.8%,95947
1002,0.8%,92128
1003,0.8%,93637
1004,0.8%,94574
1005,0.8%,91906
1006,0.8%,92563
1007,0.8%,93280
1008,0.8%,93428
1009,0.8%,92253
1010,0.8%,92648
1011,0.8%,91360
1012,0.8%,91362
1013,0.8%,95948
1014,0.7%,93313
1015,0.7%,95602
1016,0.7%,91301
1017,0.7%,92307
1018,0.7%,92345
1019,0.7%,92625
1020,0.7%,95519
1021,0.7%,92586
1022,0.7%,93458
1023,0.7%,96122
1024,0.7%,92070
1025,0.7%,92284
1026,0.7%,92646
1027,0.7%,93060
1028,0.7%,95633
1029,0.7%,92276
1030,0.7%,93657
1031,0.7%,95322
1032,0.7%,91752
1033,0.7%,92860
