,white_pop_2014,zip
826,76.5%,95459
827,76.5%,93030
828,76.5%,92345
829,76.5%,92116
830,76.5%,94556
831,76.4%,92886
832,76.4%,95368
833,76.3%,96075
834,76.3%,93427
835,76.3%,95917
836,76.2%,92807
837,76.2%,96065
838,76.2%,93405
839,76.1%,92373
840,76.1%,92845
841,76.1%,96011
842,76.1%,95374
843,76.1%,94523
844,76.1%,95693
845,76.1%,92081
846,76.1%,94928
847,76.0%,93673
848,75.9%,95948
849,75.9%,95386
850,75.9%,93015
851,75.9%,95039
852,75.9%,95915
853,75.8%,91205
854,75.8%,93666
855,75.7%,95403
856,75.7%,91024
857,75.7%,95355
858,75.7%,93110
859,75.7%,93665
860,75.6%,92117
861,75.6%,92234
862,75.6%,91784
863,75.6%,91355
864,75.6%,92054
865,75.5%,94933
866,75.5%,95695
867,75.4%,92101
868,75.4%,93260
869,75.4%,92262
870,75.4%,93445
871,75.2%,95918
872,75.2%,93270
873,75.2%,91701
874,75.2%,91356
875,75.2%,93010
876,75.1%,92585
877,75.0%,90720
878,75.0%,91750
879,75.0%,94513
880,74.9%,92344
881,74.9%,90732
882,74.9%,91505
883,74.8%,93035
884,74.7%,93067
885,74.7%,94519
886,74.6%,91978
887,74.6%,91740
888,74.5%,91942
889,74.5%,91206
890,74.5%,94597
891,74.5%,94025
892,74.5%,91602
893,74.5%,92359
894,74.4%,91501
895,74.4%,92860
896,74.4%,95569
897,74.3%,95458
898,74.3%,94117
899,74.3%,92870
900,74.3%,92562
901,74.2%,91350
902,74.2%,92545
903,74.1%,95236
904,74.0%,95692
905,74.0%,96015
906,73.9%,94301
907,73.9%,92882
908,73.9%,93451
909,73.9%,92020
910,73.8%,91502
911,73.8%,96010
912,73.7%,92592
913,73.7%,93450
914,73.7%,94506
915,73.7%,92861
916,73.6%,93630
917,73.6%,93954
918,73.5%,92368
919,73.4%,92591
920,73.4%,93631
921,73.4%,90815
922,73.3%,94061
923,73.3%,92104
924,73.3%,92277
925,73.2%,92821
926,73.2%,95354
927,73.1%,93605
928,73.1%,95076
929,73.1%,92391
930,73.1%,93033
931,73.1%,93907
932,73.1%,95307
933,73.1%,94510
934,73.1%,95821
935,73.0%,94535
936,73.0%,90808
937,73.0%,95688
938,73.0%,92887
939,73.0%,95454
940,72.9%,91411
941,72.9%,90240
942,72.8%,94518
943,72.8%,91506
944,72.8%,95363
945,72.8%,95620
946,72.7%,93060
947,72.6%,95225
948,72.6%,96068
949,72.6%,92135
950,72.5%,93066
951,72.5%,93610
952,72.4%,93611
953,72.4%,90744
954,72.4%,92806
955,72.4%,92363
956,72.3%,93927
957,72.3%,92220
958,72.3%,92505
959,72.2%,90232
960,72.2%,96120
961,72.2%,92056
962,72.2%,95694
963,72.2%,93040
964,72.2%,95327
965,72.1%,95449
966,72.1%,92626
967,72.1%,95422
968,72.1%,91367
969,72.1%,91504
970,72.0%,91203
971,72.0%,95818
972,72.0%,95932
973,71.9%,92124
974,71.9%,92055
975,71.9%,90404
976,71.9%,90035
977,71.9%,91902
978,71.8%,96008
979,71.8%,93309
980,71.8%,91351
981,71.8%,95965
982,71.7%,93720
983,71.7%,95012
984,71.7%,92647
985,71.6%,92802
986,71.6%,92883
987,71.6%,91307
988,71.6%,93516
989,71.5%,95841
990,71.5%,92374
991,71.4%,91910
992,71.4%,92596
993,71.4%,92282
994,71.4%,95468
995,71.4%,93306
996,71.4%,91042
997,71.3%,90278
998,71.3%,92584
999,71.3%,92881
1000,71.2%,90064
1001,71.2%,95673
1002,71.2%,91932
1003,71.2%,91711
1004,71.1%,90040
1005,71.1%,91321
1006,71.1%,91335
1007,71.0%,92675
1008,71.0%,92069
1009,71.0%,93434
1010,71.0%,94618
1011,71.0%,91905
1012,71.0%,95991
1013,70.9%,95336
1014,70.9%,95830
1015,70.8%,92250
1016,70.8%,95020
1017,70.8%,95124
1018,70.8%,93960
1019,70.8%,95632
1020,70.8%,92865
1021,70.7%,92203
1022,70.6%,94521
1023,70.5%,92610
1024,70.4%,94304
1025,70.4%,92313
1026,70.4%,94402
1027,70.4%,93544
1028,70.3%,95630
1029,70.3%,94508
1030,70.2%,93458
1031,70.2%,95333
1032,70.2%,95369
1033,70.1%,94566
1034,70.1%,91767
1035,70.0%,96085
1036,70.0%,92595
1037,70.0%,91977
1038,70.0%,93041
1039,69.9%,92241
1040,69.9%,92102
1041,69.9%,95008
1042,69.9%,90274
1043,69.9%,90201
1044,69.9%,91105
1045,69.9%,95645
1046,69.9%,92867
1047,69.8%,94024
1048,69.7%,90255
1049,69.7%,93101
1050,69.7%,95240
1051,69.6%,95337
1052,69.5%,92223
1053,69.5%,93513
1054,69.5%,92656
1055,69.5%,91354
1056,69.4%,91104
1057,69.4%,93454
1058,69.4%,95903
1059,69.3%,92808
1060,69.3%,94611
1061,69.3%,93505
1062,69.2%,92543
1063,69.1%,90293
1064,69.1%,93704
1065,69.1%,95627
1066,69.1%,93536
1067,69.1%,95901
1068,69.0%,92108
1069,68.9%,96130
1070,68.9%,94022
1071,68.9%,94038
1072,68.9%,90603
1073,68.9%,92653
1074,68.9%,90022
1075,68.8%,93215
1076,68.7%,92392
1077,68.7%,92866
1078,68.6%,92154
1079,68.5%,95441
1080,68.5%,92395
1081,68.5%,91342
1082,68.5%,93906
1083,68.5%,92131
1084,68.4%,95358
1085,68.4%,95139
1086,68.4%,92879
1087,68.3%,95357
1088,68.3%,91011
1089,68.3%,94575
1090,68.2%,94956
1091,68.1%,93117
1092,68.0%,94561
1093,68.0%,95037
1094,67.9%,92128
1095,67.9%,90731
1096,67.9%,93647
1097,67.8%,93436
1098,67.8%,94010
1099,67.7%,93524
1100,67.7%,92251
1101,67.6%,95356
1102,67.6%,94573
1103,67.5%,95328
1104,67.4%,92147
1105,67.4%,95953
1106,67.3%,95826
1107,67.3%,92276
1108,67.3%,93311
1109,67.2%,91766
1110,67.1%,95204
1111,67.1%,93728
1112,67.1%,94131
