,Average Education Index 2014,zip
625,14.00,94546
626,14.00,94553
627,13.99,95448
628,13.99,94061
629,13.99,93065
630,13.99,91701
631,13.98,95636
632,13.98,95826
633,13.97,92260
634,13.97,94564
635,13.96,95983
636,13.96,96137
637,13.96,90603
638,13.95,95525
639,13.95,95445
640,13.94,93063
641,13.94,90802
642,13.93,95945
643,13.93,93422
644,13.93,95703
645,13.93,91344
646,13.93,95132
647,13.93,93626
648,13.92,92056
649,13.92,95123
650,13.91,94576
651,13.91,95571
652,13.91,91504
653,13.91,93042
654,13.91,96096
655,13.91,95537
656,13.91,95685
657,13.90,95830
658,13.89,92081
659,13.89,96104
660,13.89,96121
661,13.89,95335
662,13.89,96094
663,13.88,95519
664,13.88,92865
665,13.88,94066
666,13.88,95834
667,13.87,93532
668,13.87,91016
669,13.87,92155
670,13.87,94531
671,13.87,95678
672,13.87,95245
673,13.87,96120
674,13.86,91935
675,13.86,95624
676,13.86,95910
677,13.86,95662
678,13.85,92563
679,13.85,94015
680,13.85,95693
681,13.85,95635
682,13.85,94130
683,13.85,96142
684,13.85,92881
685,13.84,91104
686,13.84,96001
687,13.84,95547
688,13.84,91324
689,13.84,92833
690,13.84,95552
691,13.83,95825
692,13.83,94038
693,13.83,95709
694,13.83,95667
695,13.83,95603
696,13.83,91780
697,13.82,92647
698,13.82,92869
699,13.82,95568
700,13.82,95117
701,13.81,92591
702,13.80,95585
703,13.80,95670
704,13.80,91901
705,13.80,93555
706,13.80,93238
707,13.79,94805
708,13.79,93444
709,13.79,92880
710,13.79,90713
711,13.78,94133
712,13.78,95602
713,13.78,95488
714,13.78,94513
715,13.78,92333
716,13.78,94954
717,13.77,93207
718,13.77,94103
719,13.77,93455
720,13.77,93314
721,13.77,91387
722,13.77,93614
723,13.77,96062
724,13.77,94591
725,13.77,92203
726,13.77,93405
727,13.76,93551
728,13.76,95476
729,13.76,95664
730,13.76,92870
731,13.76,90638
732,13.75,95372
733,13.75,96032
734,13.74,95383
735,13.74,92071
736,13.74,96057
737,13.74,95467
738,13.74,93440
739,13.74,95356
740,13.74,95228
741,13.74,93035
742,13.73,90028
743,13.73,96088
744,13.73,95226
745,13.73,95564
746,13.73,93427
747,13.72,92342
748,13.72,95666
749,13.72,95563
750,13.72,95631
751,13.71,94102
752,13.71,95536
