,Median_Rent_2014,zip
896,"$1,116",90065
897,"$1,116",92407
898,"$1,114",90061
899,"$1,113",92260
900,"$1,112",95684
901,"$1,112",95776
902,"$1,109",95358
903,"$1,109",95628
904,"$1,108",95640
905,"$1,108",95828
906,"$1,107",95470
907,"$1,105",92507
908,"$1,105",95219
909,"$1,104",90221
910,"$1,104",90247
911,"$1,103",93614
912,"$1,102",95833
913,"$1,101",91763
914,"$1,101",92020
915,"$1,098",92354
916,"$1,096",92316
917,"$1,095",95632
918,"$1,094",90026
919,"$1,094",92399
920,"$1,094",93954
921,"$1,094",93960
922,"$1,093",91733
923,"$1,092",90302
924,"$1,092",93424
925,"$1,092",93664
926,"$1,092",95206
927,"$1,090",90032
928,"$1,090",91605
929,"$1,089",90201
930,"$1,089",95019
931,"$1,089",95451
932,"$1,089",95669
933,"$1,088",92028
934,"$1,086",90016
935,"$1,086",93445
936,"$1,085",92223
937,"$1,083",95553
938,"$1,078",91046
939,"$1,077",93711
940,"$1,077",93901
941,"$1,077",96034
942,"$1,076",93722
943,"$1,076",95627
944,"$1,076",95685
945,"$1,075",93905
946,"$1,074",94621
947,"$1,073",91405
948,"$1,073",95355
949,"$1,073",95446
950,"$1,073",95461
951,"$1,073",95665
952,"$1,072",90047
953,"$1,072",95603
954,"$1,070",90004
955,"$1,070",90220
956,"$1,070",95367
957,"$1,070",95960
958,"$1,069",92102
959,"$1,068",90602
960,"$1,067",92251
961,"$1,067",92701
962,"$1,067",95441
963,"$1,066",92104
964,"$1,066",93635
965,"$1,066",93644
966,"$1,066",95726
967,"$1,064",90003
968,"$1,064",91402
969,"$1,064",96022
970,"$1,063",90301
971,"$1,063",92586
972,"$1,063",95459
973,"$1,063",95674
974,"$1,060",90250
975,"$1,060",95623
976,"$1,059",90805
977,"$1,058",90710
978,"$1,058",92376
979,"$1,057",91768
980,"$1,057",95318
981,"$1,057",95366
982,"$1,054",92398
983,"$1,052",93532
984,"$1,051",90810
985,"$1,050",92678
986,"$1,050",95703
987,"$1,050",96093
988,"$1,049",90222
989,"$1,049",93541
990,"$1,048",90802
991,"$1,048",92301
992,"$1,047",94108
993,"$1,046",90262
994,"$1,045",96128
995,"$1,043",93930
996,"$1,042",95223
997,"$1,040",95320
998,"$1,039",94590
999,"$1,039",95457
1000,"$1,038",90007
1001,"$1,038",93651
1002,"$1,038",94525
1003,"$1,037",90806
1004,"$1,037",94508
1005,"$1,037",95691
1006,"$1,036",90038
1007,"$1,036",92082
1008,"$1,036",92570
1009,"$1,035",95565
1010,"$1,034",90249
1011,"$1,033",95437
1012,"$1,032",90008
1013,"$1,031",95834
1014,"$1,029",92314
1015,"$1,029",93434
1016,"$1,029",95460
1017,"$1,028",90043
1018,"$1,027",95633
1019,"$1,026",92548
1020,"$1,026",95820
1021,"$1,025",95258
1022,"$1,025",95361
1023,"$1,024",96065
1024,"$1,023",95653
1025,"$1,021",95660
1026,"$1,021",95709
1027,"$1,020",90744
1028,"$1,020",95310
1029,"$1,019",92335
1030,"$1,016",96003
1031,"$1,015",95210
1032,"$1,015",95468
1033,"$1,014",90063
1034,"$1,014",95323
1035,"$1,014",95326
1036,"$1,013",90062
1037,"$1,013",92371
1038,"$1,013",93560
1039,"$1,013",95822
1040,"$1,011",92385
1041,"$1,010",93226
1042,"$1,010",93436
1043,"$1,008",92347
1044,"$1,008",95490
1045,"$1,007",92320
1046,"$1,007",95551
1047,"$1,007",95602
1048,"$1,006",94601
1049,"$1,006",94801
1050,"$1,005",91731
1051,"$1,004",92345
1052,"$1,001",90270
1053,"$1,000",92322
1054,"$1,000",95564
1055,$999,92395
1056,$998,93292
1057,$997,95519
1058,$997,95694
1059,$996,90031
1060,$996,94606
1061,$994,95714
1062,$993,90011
1063,$993,90280
1064,$993,90304
1065,$993,95227
1066,$992,92264
1067,$992,92411
1068,$992,93550
1069,$990,92308
1070,$989,92324
1071,$989,95610
1072,$987,92004
1073,$987,95231
1074,$987,95245
1075,$986,90044
1076,$986,91950
1077,$985,95374
1078,$985,95912
1079,$985,96143
1080,$984,92346
1081,$984,95667
1082,$983,95842
1083,$983,95954
1084,$979,95638
1085,$978,92501
1086,$977,90022
1087,$977,90029
1088,$976,92307
1089,$976,95315
1090,$976,95838
1091,$976,96142
1092,$975,90001
1093,$975,92220
1094,$975,93637
1095,$975,94956
1096,$974,92105
1097,$974,95012
1098,$974,95307
1099,$974,95993
1100,$973,92352
1101,$972,96019
1102,$971,95439
1103,$971,96113
1104,$970,93245
1105,$970,95601
1106,$968,90002
1107,$968,92086
1108,$968,93527
1109,$968,95542
1110,$968,95945
1111,$967,90018
1112,$967,93563
1113,$965,92544
1114,$965,93928
1115,$963,95826
1116,$962,92113
1117,$962,95482
1118,$961,92284
1119,$961,95338
1120,$960,90023
1121,$960,93440
1122,$959,90037
1123,$959,90813
1124,$959,95445
1125,$957,96088
1126,$956,93225
1127,$956,95350
1128,$956,95360
1129,$956,95503
1130,$956,95914
1131,$954,92201
1132,$954,94060
1133,$954,95324
1134,$954,95536
1135,$953,95968
1136,$952,95525
1137,$952,96035
1138,$951,93650
1139,$951,95670
1140,$950,92173
1141,$950,93668
1142,$950,95328
1143,$950,95412
1144,$950,95449
1145,$950,96118
1146,$949,95642
1147,$948,93513
1148,$946,94103
1149,$945,94607
1150,$945,95987
1151,$944,92262
1152,$944,92315
1153,$943,95928
1154,$942,92561
1155,$941,93306
1156,$941,95938
1157,$940,90006
1158,$939,90005
1159,$939,90255
1160,$937,93277
1161,$936,92404
1162,$936,95426
1163,$935,93202
1164,$935,93610
1165,$935,95428
1166,$935,96024
1167,$933,95547
1168,$933,95982
1169,$932,96020
1170,$931,95462
1171,$931,96002
1172,$931,96067
1173,$930,92285
1174,$929,92386
1175,$929,93534
1176,$929,95383
1177,$928,92240
1178,$928,95215
1179,$928,95549
1180,$928,95823
1181,$927,95570
1182,$926,92405
1183,$926,95370
1184,$926,95973
1185,$925,95608
1186,$924,93667
1187,$923,95917
1188,$921,92277
1189,$921,92339
1190,$920,95204
1191,$920,95334
1192,$920,95629
1193,$919,96130
1194,$918,95240
1195,$918,95346
1196,$918,95379
1197,$917,93230
1198,$917,95693
1199,$916,95316
1200,$915,94124
1201,$914,94569
1202,$913,96150
1203,$909,93274
1204,$908,90033
1205,$908,92070
1206,$908,96146
1207,$907,92325
1208,$907,93309
1209,$906,92408
1210,$906,93920
1211,$906,95351
1212,$905,94612
1213,$905,95817
1214,$905,95966
1215,$903,95521
1216,$903,95815
1217,$902,95969
1218,$899,90059
1219,$897,95816
1220,$895,93040
1221,$895,95301
1222,$895,95695
1223,$892,93704
1224,$892,93925
1225,$892,96038
1226,$890,92236
1227,$890,93268
1228,$890,95222
1229,$890,95961
1230,$889,96047
1231,$887,93291
1232,$887,95354
1233,$887,95926
1234,$886,95841
1235,$886,96001
1236,$885,95692
1237,$884,93308
1238,$883,93657
1239,$883,95386
1240,$882,95991
1241,$880,95203
1242,$879,93710
1243,$879,95526
1244,$877,93561
1245,$877,93612
1246,$877,95327
1247,$875,90040
1248,$875,95380
1249,$874,92249
1250,$874,93654
1251,$874,95348
1252,$874,95550
1253,$874,95824
1254,$873,93307
1255,$873,95205
1256,$873,96052
1257,$872,90057
1258,$872,94102
1259,$871,95207
1260,$871,95423
1261,$870,91906
1262,$870,95825
1263,$869,95453
1264,$868,92590
1265,$868,93705
1266,$868,95420
1267,$868,96008
1268,$866,90015
1269,$866,92583
1270,$863,93514
1271,$862,95901
1272,$861,93238
1273,$861,95947
1274,$860,95335
1275,$859,92359
1276,$857,95971
1277,$857,96090
1278,$857,96148
1279,$856,93505
1280,$856,93602
1281,$856,96114
1282,$855,93638
1283,$855,95531
1284,$855,95554
1285,$854,92256
1286,$853,92410
1287,$853,93608
1288,$853,96094
1289,$850,94567
1290,$850,95321
1291,$850,95568
1292,$850,95922
1293,$849,93555
1294,$848,90017
1295,$848,93529
1296,$848,93725
1297,$846,93609
1298,$846,95458
1299,$845,92543
1300,$845,96021
1301,$844,93656
1302,$842,93675
1303,$841,93304
1304,$840,93221
1305,$840,93254
1306,$839,92252
1307,$839,95501
1308,$838,93653
1309,$836,93272
1310,$833,96109
