,public_transportation_2014,zip
643,2.3%,95118
644,2.2%,95355
645,2.2%,95570
646,2.2%,95703
647,2.2%,95757
648,2.2%,91042
649,2.2%,92084
650,2.2%,92325
651,2.2%,93308
652,2.2%,95835
653,2.2%,92003
654,2.2%,92120
655,2.2%,94505
656,2.2%,91745
657,2.2%,93222
658,2.2%,91326
659,2.2%,90755
660,2.2%,92835
661,2.2%,93111
662,2.2%,93706
663,2.2%,94954
664,2.2%,95337
665,2.2%,92106
666,2.2%,92264
667,2.2%,95610
668,2.1%,91384
669,2.1%,92311
670,2.1%,92705
671,2.1%,92083
672,2.1%,93427
673,2.1%,95120
674,2.1%,95039
675,2.1%,93921
676,2.1%,94589
677,2.1%,95330
678,2.1%,95830
679,2.1%,90045
680,2.1%,92866
681,2.1%,90067
682,2.1%,91762
683,2.1%,93449
684,2.1%,95014
685,2.1%,92014
686,2.0%,92231
687,2.0%,92252
688,2.0%,93458
689,2.0%,92337
690,2.0%,92879
691,2.0%,94534
692,2.0%,95691
693,2.0%,91501
694,2.0%,92025
695,2.0%,93041
696,2.0%,93304
697,2.0%,95662
698,2.0%,92009
699,2.0%,94970
700,2.0%,95621
701,2.0%,91741
702,2.0%,96084
703,2.0%,95623
704,2.0%,91355
705,2.0%,91381
706,2.0%,95207
707,2.0%,90606
708,2.0%,93552
709,2.0%,95660
710,1.9%,90272
711,1.9%,95977
712,1.9%,91784
713,1.9%,94022
714,1.9%,92118
715,1.9%,92372
716,1.9%,92626
717,1.9%,95018
718,1.9%,95658
719,1.9%,90503
720,1.9%,95540
721,1.9%,95674
722,1.9%,96041
723,1.9%,91502
724,1.9%,92021
725,1.9%,93223
726,1.9%,90620
727,1.9%,90712
728,1.9%,90502
729,1.9%,92019
730,1.9%,92691
731,1.9%,93060
732,1.9%,95401
733,1.9%,90277
734,1.9%,91764
735,1.9%,92010
736,1.9%,92653
737,1.9%,95255
738,1.8%,95338
739,1.8%,90266
740,1.8%,92081
741,1.8%,95928
742,1.8%,92647
743,1.8%,90808
744,1.8%,92211
745,1.8%,93455
746,1.8%,90504
747,1.8%,92056
748,1.8%,92336
749,1.8%,92821
750,1.8%,92126
751,1.8%,92258
752,1.8%,92391
753,1.8%,95695
754,1.8%,92324
755,1.8%,95391
756,1.8%,95403
757,1.8%,95926
758,1.7%,90638
759,1.7%,95605
760,1.7%,95722
761,1.7%,95993
762,1.7%,91320
763,1.7%,91730
764,1.7%,92557
765,1.7%,92883
766,1.7%,95148
767,1.7%,93063
768,1.7%,93203
769,1.7%,92553
770,1.7%,93021
771,1.7%,92024
772,1.7%,92508
773,1.7%,92201
774,1.7%,92629
775,1.7%,93036
776,1.7%,93401
777,1.7%,90505
778,1.7%,92129
779,1.7%,94028
780,1.7%,95490
781,1.7%,95624
782,1.7%,95476
783,1.7%,95762
784,1.7%,92612
785,1.7%,93313
786,1.7%,96058
787,1.6%,91208
788,1.6%,93307
789,1.6%,95002
790,1.6%,95076
791,1.6%,95131
792,1.6%,92506
793,1.6%,92673
794,1.6%,93516
795,1.6%,94956
796,1.6%,93704
797,1.6%,95124
798,1.6%,95677
799,1.6%,95841
800,1.6%,93242
801,1.6%,95501
802,1.6%,95829
803,1.6%,95842
804,1.6%,91709
805,1.6%,92107
806,1.6%,95046
807,1.6%,95573
808,1.6%,91350
809,1.6%,91710
810,1.6%,94515
811,1.6%,91020
812,1.6%,91913
813,1.6%,93640
814,1.6%,95464
815,1.6%,92663
816,1.6%,93254
817,1.6%,93535
818,1.5%,92254
819,1.5%,95954
820,1.5%,90713
821,1.5%,95066
822,1.5%,95655
823,1.5%,95828
824,1.5%,95932
825,1.5%,96057
826,1.5%,95130
827,1.5%,95659
828,1.5%,90278
829,1.5%,95209
830,1.5%,95864
831,1.5%,90245
832,1.5%,92395
833,1.5%,93446
834,1.5%,91701
835,1.5%,92027
836,1.5%,93004
837,1.5%,95521
838,1.5%,93109
839,1.5%,95307
840,1.4%,90293
841,1.4%,93030
842,1.4%,95003
843,1.4%,91761
844,1.4%,95203
845,1.4%,95436
