,house_median_value_2000,zip
472,"$256,500",92653
473,"$256,300",94513
474,"$256,100",91307
475,"$255,500",95403
476,"$255,400",91401
477,"$254,200",93962
478,"$254,100",94124
479,"$253,300",92676
480,"$253,100",91104
481,"$252,400",91711
482,"$252,200",94521
483,"$250,900",90630
484,"$250,800",91506
485,"$250,500",95683
486,"$250,000",95549
487,"$248,700",91020
488,"$248,700",92866
489,"$248,200",91304
490,"$248,200",92019
491,"$247,800",92831
492,"$247,800",96161
493,"$246,600",93440
494,"$246,300",93003
495,"$245,900",95663
496,"$245,800",94545
497,"$245,800",94619
498,"$245,700",90019
499,"$245,400",93933
500,"$245,200",93442
501,"$244,700",94710
502,"$244,400",94547
503,"$244,400",94553
504,"$244,400",95254
505,"$244,300",91765
506,"$243,800",95616
507,"$243,400",91324
508,"$243,400",91915
509,"$243,300",93004
510,"$242,600",91709
511,"$242,500",90815
512,"$242,500",93529
513,"$242,300",93901
514,"$242,200",92116
515,"$241,900",93065
516,"$241,700",94931
517,"$240,500",94579
518,"$240,500",95672
519,"$240,100",95445
520,"$240,000",92120
521,"$239,900",90039
522,"$239,300",91750
523,"$239,300",92065
524,"$239,000",95830
525,"$238,900",90731
526,"$238,900",93955
527,"$238,600",91350
528,"$238,300",90504
529,"$238,100",91344
530,"$237,900",93063
531,"$237,900",94577
532,"$237,800",92845
533,"$237,800",94928
534,"$237,600",92618
535,"$237,200",95864
536,"$237,100",95002
537,"$236,200",93465
538,"$236,100",93664
539,"$236,000",90008
540,"$235,800",93001
541,"$235,100",90808
542,"$234,800",90807
543,"$234,800",91737
544,"$234,800",93035
545,"$234,600",93444
546,"$234,200",95602
547,"$233,400",95765
548,"$233,000",91773
549,"$233,000",92865
550,"$232,400",90710
551,"$232,300",91780
552,"$231,700",90017
553,"$231,700",90240
554,"$231,500",91745
555,"$231,000",95650
556,"$230,900",91941
557,"$230,800",91505
558,"$230,200",91913
559,"$230,100",92061
560,"$230,100",94544
561,"$229,700",95589
562,"$229,200",95607
563,"$229,000",95439
564,"$228,800",95630
565,"$228,600",93604
566,"$228,400",93022
567,"$228,300",92119
568,"$228,100",94803
569,"$226,400",92683
570,"$225,600",90038
571,"$225,600",92025
572,"$225,600",94541
573,"$225,500",92020
574,"$225,400",96142
575,"$225,100",92706
576,"$225,000",93645
577,"$225,000",96133
578,"$224,800",91016
579,"$224,800",92084
580,"$223,200",92806
581,"$223,100",91914
582,"$223,100",92117
583,"$222,800",96143
584,"$222,500",94580
585,"$222,300",91384
586,"$222,200",95401
587,"$222,100",91962
588,"$221,500",91791
589,"$221,500",95722
590,"$220,300",90631
591,"$219,700",95212
592,"$219,500",90241
593,"$219,500",95703
594,"$219,100",90603
595,"$219,100",94578
596,"$219,000",92211
597,"$219,000",94564
598,"$219,000",95425
599,"$218,800",90041
600,"$218,800",92333
601,"$218,700",91754
602,"$218,600",92352
603,"$218,200",94511
604,"$217,600",91411
605,"$217,400",90029
606,"$217,300",92881
607,"$217,000",95376
608,"$216,900",91204
609,"$216,600",91205
610,"$216,100",94605
611,"$215,600",95459
612,"$215,300",90602
613,"$215,200",91748
614,"$215,100",91321
615,"$215,000",95959
616,"$214,800",95664
617,"$214,700",91801
618,"$214,400",94559
619,"$214,000",95524
620,"$214,000",95946
621,"$213,900",90601
622,"$213,700",91755
623,"$213,700",95682
624,"$213,300",95747
625,"$213,000",92040
626,"$212,900",93563
627,"$212,900",95615
628,"$212,800",95220
629,"$212,300",92026
630,"$212,100",93402
631,"$211,500",95236
632,"$211,300",90638
633,"$211,000",92056
634,"$211,000",95688
635,"$210,800",95019
636,"$210,700",90713
637,"$210,400",91203
638,"$210,300",92532
639,"$210,100",91601
640,"$210,100",92126
641,"$209,800",92123
642,"$209,800",93422
643,"$209,800",95421
644,"$209,600",91103
645,"$208,500",94519
646,"$208,100",92841
647,"$207,400",91803
648,"$207,200",95310
649,"$207,200",95407
650,"$206,900",90026
651,"$205,900",91724
652,"$205,800",92833
653,"$205,600",90015
654,"$205,500",91701
655,"$205,300",95714
656,"$205,200",91910
657,"$204,700",91351
658,"$204,500",92860
659,"$204,300",95603
660,"$204,100",94525
661,"$203,900",95436
662,"$203,800",91931
663,"$203,100",92086
664,"$202,900",92069
665,"$202,600",92111
666,"$202,500",95041
667,"$202,500",95728
668,"$202,200",91101
669,"$202,200",91502
670,"$202,100",92655
671,"$202,100",95570
672,"$202,000",90712
673,"$202,000",91343
674,"$202,000",92083
675,"$201,900",95601
676,"$201,600",92305
677,"$201,400",90620
678,"$201,400",95975
679,"$201,300",93426
680,"$201,100",95713
681,"$200,900",91040
682,"$200,700",92587
683,"$200,000",95446
684,"$199,900",91776
685,"$199,600",95614
686,"$199,400",95247
687,"$199,100",90640
688,"$199,100",93906
689,"$198,900",95949
690,"$198,800",95661
691,"$198,300",91978
692,"$198,200",92518
693,"$198,100",94572
694,"$197,900",93030
695,"$197,600",90746
696,"$197,500",92592
697,"$197,400",91042
698,"$197,300",95470
699,"$197,200",91942
700,"$196,600",94509
701,"$196,400",92070
702,"$196,200",95628
703,"$195,900",92373
704,"$195,400",92591
705,"$195,100",92562
706,"$194,700",92880
707,"$194,700",95612
708,"$194,400",92315
709,"$194,400",92802
710,"$194,200",92021
711,"$194,100",92104
712,"$193,800",95258
713,"$193,800",95543
714,"$193,400",92804
715,"$193,000",95668
716,"$192,800",95638
717,"$192,500",90028
718,"$192,500",95918
719,"$192,300",90701
720,"$192,100",92882
721,"$192,000",92832
722,"$192,000",95818
723,"$191,600",92840
724,"$191,300",94591
725,"$191,200",90621
726,"$190,900",95816
727,"$190,600",90305
728,"$190,200",91917
729,"$189,800",90065
730,"$189,800",95677
731,"$189,700",95233
732,"$189,600",96062
733,"$189,400",95835
734,"$188,900",91740
735,"$188,900",92260
736,"$188,900",95623
737,"$188,600",91306
738,"$188,500",92054
739,"$188,000",92071
740,"$188,000",94561
741,"$187,900",92561
742,"$187,800",91723
743,"$187,600",90242
744,"$187,600",92115
745,"$187,600",92704
746,"$187,500",95427
747,"$187,500",95463
748,"$187,500",95625
749,"$187,100",95819
750,"$186,800",90260
751,"$186,300",95219
752,"$186,100",94805
753,"$186,000",95831
754,"$185,800",90604
755,"$185,600",92843
756,"$185,400",90502
