,White Population % in 2000,zip
934,71.9%,96058
935,71.8%,92705
936,71.8%,91501
937,71.8%,92869
938,71.8%,95903
939,71.7%,95637
940,71.7%,91042
941,71.6%,94611
942,71.5%,90291
943,71.5%,95444
944,71.3%,95624
945,71.2%,95694
946,71.2%,91020
947,71.1%,95357
948,71.1%,92368
949,70.9%,93551
950,70.9%,95670
951,70.8%,93501
952,70.8%,95120
953,70.8%,95139
954,70.8%,95567
955,70.8%,93513
956,70.8%,90704
957,70.7%,92124
958,70.6%,92230
959,70.6%,94950
960,70.6%,93309
961,70.6%,95313
962,70.5%,93704
963,70.5%,93612
964,70.3%,95943
965,70.2%,92278
966,70.2%,95842
967,70.2%,92647
968,70.2%,95695
969,70.1%,94105
970,70.1%,93536
971,70.1%,92027
972,70.1%,91963
973,70.0%,90036
974,70.0%,94972
975,70.0%,95620
976,69.9%,95240
977,69.9%,95948
978,69.8%,93631
979,69.7%,95687
980,69.7%,92508
981,69.6%,92240
982,69.5%,95568
983,69.4%,92881
984,69.4%,94568
985,69.4%,95691
986,69.4%,96120
987,69.4%,93436
988,69.3%,95932
989,69.3%,91739
990,69.3%,91902
991,69.3%,94131
992,69.2%,95616
993,69.1%,95354
994,69.1%,92530
995,69.1%,94044
996,69.0%,92590
997,68.8%,91384
998,68.8%,95322
999,68.8%,92880
1000,68.7%,91504
1001,68.7%,92084
1002,68.7%,92808
1003,68.7%,93445
1004,68.6%,91202
1005,68.5%,95368
1006,68.4%,95045
1007,68.3%,92870
1008,68.3%,92101
1009,68.3%,94403
1010,68.2%,94709
1011,68.1%,92627
1012,68.1%,93505
1013,68.0%,95380
1014,68.0%,93512
1015,67.9%,95367
1016,67.9%,95307
1017,67.8%,92604
1018,67.8%,95961
1019,67.8%,95046
1020,67.8%,95835
1021,67.7%,92069
1022,67.7%,95826
1023,67.6%,91934
1024,67.6%,95991
1025,67.6%,92583
1026,67.6%,95070
1027,67.5%,95825
1028,67.4%,95950
1029,67.4%,93907
1030,67.4%,90814
1031,67.3%,93035
1032,67.3%,90275
1033,67.0%,95901
1034,66.9%,92782
1035,66.9%,95130
1036,66.7%,92121
1037,66.6%,95993
1038,66.6%,92374
1039,66.5%,95441
1040,66.5%,91724
1041,66.4%,92309
1042,66.4%,92070
1043,66.2%,92116
1044,66.1%,95219
1045,66.1%,90025
1046,66.0%,95742
1047,66.0%,91344
1048,66.0%,95660
1049,66.0%,95829
1050,65.9%,90505
1051,65.9%,95640
1052,65.9%,90630
1053,65.9%,95064
1054,65.8%,95627
1055,65.7%,96039
1056,65.6%,92234
1057,65.6%,91201
1058,65.6%,93101
1059,65.5%,95939
1060,65.5%,95376
1061,65.5%,95843
1062,65.5%,92123
1063,65.4%,91752
1064,65.4%,94509
1065,65.4%,93103
1066,65.4%,94040
1067,65.3%,94130
1068,65.3%,94041
1069,65.3%,90712
1070,65.3%,90717
1071,65.2%,92831
1072,65.2%,95119
1073,65.2%,95317
1074,65.1%,95123
1075,65.1%,92392
1076,65.1%,91326
1077,65.0%,94535
1078,65.0%,92620
1079,64.8%,95690
1080,64.7%,95415
1081,64.7%,92083
1082,64.6%,91206
1083,64.6%,93230
1084,64.5%,93306
1085,64.5%,93534
1086,64.5%,95204
1087,64.5%,90024
1088,64.4%,94111
1089,64.4%,90638
1090,64.3%,90631
1091,64.2%,92708
1092,64.2%,94706
1093,64.1%,95023
1094,64.1%,91107
1095,64.0%,93313
1096,64.0%,93620
1097,64.0%,93543
1098,63.9%,93710
1099,63.9%,92618
1100,63.9%,95303
1101,63.8%,92057
1102,63.7%,92504
1103,63.6%,91723
1104,63.3%,92025
1105,63.2%,90604
1106,63.2%,95548
1107,63.1%,91016
1108,63.1%,95556
1109,63.1%,94030
1110,63.0%,90404
1111,63.0%,92220
1112,62.9%,91786
1113,62.9%,92054
1114,62.8%,92203
1115,62.8%,92555
1116,62.8%,92882
1117,62.7%,94065
1118,62.7%,92129
1119,62.6%,95827
1120,62.4%,94107
1121,62.3%,93301
1122,62.3%,91932
1123,62.2%,94127
1124,62.2%,95128
1125,61.9%,90027
1126,61.9%,95050
1127,61.6%,92311
1128,61.6%,92614
1129,61.6%,95360
1130,61.6%,95676
1131,61.6%,95814
1132,61.5%,91325
1133,61.5%,94109
1134,61.4%,90045
1135,61.3%,94087
1136,61.3%,92868
1137,61.1%,92239
1138,61.1%,93591
1139,60.9%,91304
1140,60.9%,92304
1141,60.8%,93535
1142,60.8%,94043
1143,60.8%,95818
1144,60.8%,90066
1145,60.7%,95126
1146,60.7%,94404
1147,60.6%,93245
1148,60.6%,94305
1149,60.5%,92346
1150,60.5%,95312
1151,60.4%,92503
1152,60.4%,91030
1153,60.3%,95020
1154,60.2%,95358
1155,60.2%,95407
1156,60.0%,95776
1157,60.0%,91401
1158,59.8%,94115
1159,59.7%,91324
1160,59.7%,95449
1161,59.7%,92111
1162,59.7%,91502
1163,59.6%,91914
1164,59.5%,91945
1165,59.4%,90601
1166,59.3%,95912
1167,59.2%,94520
1168,59.2%,95301
1169,59.1%,90620
1170,59.1%,92250
1171,59.1%,95920
1172,59.1%,94580
1173,59.0%,92612
1174,58.9%,92806
1175,58.8%,93610
1176,58.7%,93635
1177,58.7%,90731
1178,58.6%,91730
1179,58.5%,92780
1180,58.5%,95605
1181,58.5%,93657
1182,58.5%,93637
1183,58.4%,91913
1184,58.4%,95215
1185,58.3%,90240
1186,58.2%,93041
1187,58.2%,95328
1188,58.2%,95758
1189,58.2%,93242
1190,58.1%,94530
1191,58.1%,90822
1192,58.0%,91203
1193,58.0%,95385
1194,57.9%,94066
1195,57.8%,94552
1196,57.8%,92832
1197,57.7%,94501
1198,57.7%,91205
1199,57.7%,94401
1200,57.6%,95039
1201,57.6%,91335
1202,57.6%,93450
1203,57.5%,93274
1204,57.4%,90503
1205,57.3%,95117
1206,57.2%,95953
1207,57.1%,90232
1208,57.1%,91910
1209,57.0%,92394
1210,57.0%,92505
1211,57.0%,93722
1212,56.9%,93668
1213,56.9%,92501
1214,56.9%,95348
1215,56.9%,91710
1216,56.9%,92509
1217,56.8%,95645
1218,56.7%,92115
1219,56.7%,94118
1220,56.7%,95721
1221,56.6%,91977
1222,56.6%,91106
1223,56.6%,95363
1224,56.5%,92104
1225,56.4%,91709
1226,56.3%,92310
1227,56.2%,91722
1228,56.2%,95209
1229,56.2%,94536
1230,56.1%,95136
1231,56.1%,93060
1232,56.0%,90241
1233,55.9%,93901
1234,55.6%,92281
1235,55.6%,92879
1236,55.5%,93652
1237,55.5%,90028
1238,55.4%,91411
1239,55.1%,93286
1240,55.1%,91406
1241,55.1%,95051
1242,55.0%,92273
1243,55.0%,90807
1244,54.8%,93654
1245,54.8%,93257
1246,54.7%,92061
1247,54.6%,93015
1248,54.5%,93291
1249,54.5%,94533
1250,54.3%,93618
1251,54.1%,91104
1252,54.0%,94542
1253,54.0%,95340
1254,53.9%,91101
1255,53.9%,92227
1256,53.8%,94564
1257,53.8%,92404
1258,53.8%,95615
1259,53.6%,95815
1260,53.6%,93673
1261,53.5%,92833
1262,53.5%,95315
1263,53.5%,94502
1264,53.5%,95135
1265,53.5%,93202
1266,53.4%,93726
1267,53.3%,95134
