,total_pop_2000,zip
577,25985,91364
578,25906,93654
579,25872,91504
580,25848,92220
581,25793,93561
582,25756,93105
583,25731,91324
584,25706,95409
585,25687,92545
586,25648,92591
587,25617,93041
588,25573,94510
589,25563,94062
590,25561,90746
591,25553,92120
592,25548,94002
593,25410,95747
594,25392,94803
595,25369,95361
596,25359,93552
597,25350,95815
598,25331,95370
599,25321,93035
600,25302,91301
601,25217,92123
602,25186,92651
603,25161,95661
604,25117,91740
605,25115,93313
606,25062,91724
607,24976,90274
608,24970,91355
609,24967,91741
610,24953,91945
611,24941,95603
612,24928,93012
613,24906,92262
614,24891,90240
615,24724,94947
616,24721,95682
617,24691,95382
618,24641,92225
619,24640,90710
620,24637,92405
621,24572,94608
622,24503,90061
623,24501,92832
624,24501,94619
625,24489,90064
626,24484,94306
627,24482,93420
628,24427,95032
629,24225,95003
630,24205,93618
631,24183,95632
632,24177,90740
633,24149,92110
634,24085,92118
635,24000,91942
636,23995,94549
637,23979,95945
638,23978,91201
639,23975,91030
640,23970,92253
641,23785,95531
642,23778,95215
643,23725,91106
644,23688,95492
645,23644,91302
646,23641,91411
647,23622,91307
648,23557,95503
649,23556,90403
650,23508,91303
651,23495,93212
652,23465,92844
653,23426,91775
654,23387,92227
655,23373,94402
656,23355,95864
657,23312,91784
658,23212,95501
659,23159,92236
660,23152,92868
661,23144,92411
662,23121,94530
663,23093,95348
664,23075,91737
665,23016,94103
666,22963,92551
667,22903,94123
668,22779,92240
669,22752,93280
670,22538,90272
671,22493,92614
672,22460,94547
673,22425,92860
674,22278,93907
675,22247,95405
676,22173,91384
677,22123,92663
678,22079,91403
679,22071,95242
680,22021,95762
681,21971,91202
682,21903,92881
683,21850,92119
684,21750,93933
685,21724,90048
686,21713,90068
687,21624,93023
688,21505,95677
689,21479,94024
690,21400,96007
691,21396,90210
692,21334,92583
693,21328,90720
694,21298,95818
695,21264,90732
696,21203,94704
697,21144,92835
698,21093,94609
699,21060,90717
700,21048,94607
701,20998,93725
702,20975,95841
703,20884,90715
704,20877,93103
705,20876,92887
706,20689,90017
707,20663,95746
708,20624,94127
709,20477,92284
710,20432,93311
711,20395,90069
712,20334,94030
713,20187,91011
714,20032,92127
715,19956,90404
716,19847,95337
717,19802,94579
718,19768,94506
719,19743,94703
720,19699,92211
721,19614,90265
722,19612,92808
723,19599,95827
724,19585,95521
725,19433,96130
726,19383,93610
727,19359,92595
728,19103,95219
729,19101,90603
730,19040,95691
731,19014,90814
732,18982,92501
733,18973,92301
734,18971,91752
735,18869,92264
736,18748,91040
737,18724,91361
738,18682,90254
739,18643,94519
740,18530,91506
741,18510,95620
742,18505,92106
743,18499,92377
744,18466,94022
745,18303,92563
746,18184,95602
747,18180,95110
748,18142,92586
749,18096,91501
750,18062,92354
751,18057,90292
752,18039,92865
753,18033,93210
754,18019,94595
755,17976,95448
756,17944,94563
757,17929,92029
758,17923,94019
759,17909,95949
760,17841,91354
761,17778,95965
762,17716,92223
763,17619,92606
764,17552,91723
765,17485,92782
766,17402,93013
767,17379,91902
768,17368,94107
769,17267,95959
770,17169,92277
771,17142,92508
772,17102,91345
773,17038,90502
774,17009,92274
775,16997,91204
776,16990,92880
777,16978,91602
778,16970,94089
779,16909,91208
780,16846,94960
781,16809,91101
782,16705,94564
783,16598,95814
784,16514,95367
785,16501,94556
786,16470,93111
787,16468,91901
788,16423,94945
789,16380,90701
790,16344,95203
791,16339,93728
792,16263,90670
793,16202,93203
794,16186,94301
795,16157,95816
796,16033,90245
797,15999,93015
798,15964,95819
799,15918,95519
800,15865,94706
801,15864,92845
802,15791,95135
803,15781,96161
804,15751,93110
805,15629,94702
806,15529,95363
807,15507,93247
808,15498,90623
809,15476,95765
810,15436,93950
811,15420,94618
812,15391,93444
813,15380,92866
814,15350,93241
815,15280,92673
816,15269,95648
817,15186,94507
818,15175,90232
819,15172,93263
820,15134,90015
821,15017,95776
822,14963,95817
823,14926,93268
824,14926,93560
825,14850,90716
826,14842,93402
827,14809,91377
828,14785,95138
829,14696,93204
830,14561,95066
831,14559,92082
832,14538,92251
833,14479,91203
834,14464,93930
835,14410,95437
836,14223,94517
837,14189,93927
838,14098,92278
839,14077,93631
840,14061,92584
841,14047,93630
842,14007,95673
843,13980,94502
844,13973,94805
845,13938,92014
846,13844,93701
847,13828,96021
848,13763,90305
849,13716,94108
850,13700,95963
851,13477,95422
852,13471,94041
853,13465,95130
854,13463,95490
855,13407,92625
856,13371,94305
857,13360,94949
858,13328,95357
859,13321,93221
860,13304,93514
861,13289,95030
862,13202,94552
863,13168,92883
864,13149,91108
865,13135,92587
866,13109,91436
867,13108,93923
868,13099,93433
869,13048,94920
870,13020,93908
871,13013,95054
872,13001,93960
873,12960,93301
874,12925,91739
875,12880,91913
876,12747,95605
877,12737,93108
878,12726,92555
879,12666,95334
880,12627,95366
