zip,Average Education Index 2000,Average Education Index 2014,Index Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Change in Public Transp %,Total Population in 2000,Total Population in 2014,% Change in Total Population,White Population % in 2000,White Population % in 2014,% Change in White Population %,Outcome
92075,15.27,15.19,-0.08000000000000007,0.034,0.024,-0.010000000000000002,12170.0,12437.0,0.022,0.867,0.813,-0.062,
94025,15.26,15.99,0.7300000000000004,0.039,0.038,-0.0010000000000000009,39061.0,40945.0,0.048,0.741,0.745,0.005,
90056,15.24,15.47,0.23000000000000043,0.02,0.008,-0.012,8108.0,8380.0,0.034,0.183,0.12,-0.344,
95129,15.21,15.84,0.629999999999999,0.021,0.023,0.0019999999999999983,37565.0,40530.0,0.079,0.498,0.293,-0.412,
90405,15.21,15.73,0.5199999999999996,0.032,0.027000000000000003,-0.0049999999999999975,26089.0,28535.0,0.094,0.785,0.789,0.005,
94530,15.21,15.46,0.25,0.20600000000000002,0.23800000000000002,0.032,23121.0,24301.0,0.051,0.581,0.57,-0.019,
91361,15.2,15.5,0.3000000000000007,0.005,0.006999999999999999,0.001999999999999999,18724.0,20266.0,0.082,0.905,0.859,-0.051,
92679,15.19,15.45,0.2599999999999998,0.006,0.001,-0.005,32267.0,32822.0,0.017,0.875,0.834,-0.047,
90036,15.19,15.61,0.41999999999999993,0.040999999999999995,0.033,-0.007999999999999993,32885.0,36425.0,0.108,0.7,0.656,-0.063,
94956,15.17,14.66,-0.5099999999999998,0.024,0.016,-0.008,1874.0,1687.0,-0.1,0.916,0.682,-0.255,
91377,15.17,15.62,0.4499999999999993,0.006,0.002,-0.004,14809.0,14512.0,-0.02,0.88,0.818,-0.07,
91711,15.17,15.44,0.2699999999999996,0.026000000000000002,0.039,0.012999999999999998,34715.0,36484.0,0.051,0.735,0.712,-0.031,
92009,15.16,15.58,0.41999999999999993,0.019,0.02,0.0010000000000000009,43155.0,43627.0,0.011,0.888,0.835,-0.06,
92118,15.16,15.77,0.6099999999999994,0.027000000000000003,0.019,-0.008000000000000004,24085.0,22664.0,-0.059,0.844,0.902,0.069,
94010,15.14,15.71,0.5700000000000003,0.063,0.113,0.05,40328.0,42223.0,0.047,0.756,0.678,-0.103,
94502,15.14,15.62,0.47999999999999865,0.153,0.153,0.0,13980.0,13192.0,-0.056,0.535,0.433,-0.191,
92606,15.13,15.53,0.3999999999999986,0.004,0.024,0.02,17619.0,22294.0,0.265,0.496,0.444,-0.105,
94037,15.11,14.91,-0.1999999999999993,0.079,0.008,-0.07100000000000001,2332.0,2880.0,0.235,0.9,0.927,0.03,
94583,15.1,15.39,0.2900000000000009,0.049,0.046,-0.0030000000000000027,44076.0,35272.0,-0.2,0.772,0.622,-0.194,
94596,15.1,15.47,0.370000000000001,0.162,0.151,-0.01100000000000001,40916.0,20778.0,-0.492,0.82,0.801,-0.023,
