zip,Median_Income_2000,Median_Income_2014,Median_Rent_2000,Median_Rent_2014,Total_Pop_2000,Total_Pop_2014,White_Pop_2000,White_Pop_2014,Outcome
94010,"$82,188","$118,125","$1,119","$1,606",40328,42223,75.6%,67.8%,
95134,"$82,072","$114,757","$1,516","$2,001",9643,16811,53.3%,32.9%,
94586,"$81,923","$85,000","$1,330","$1,427",773,984,86.4%,80.4%,
91784,"$81,460","$95,975","$1,189","$2,001",23312,26034,78.9%,75.6%,
90254,"$81,352","$105,029","$1,146","$1,865",18682,19725,89.6%,87.5%,
94002,"$80,973","$105,985","$1,114","$1,586",25548,26679,75.2%,64.0%,
94130,"$80,959","$38,077","$1,809","$1,647",1453,3083,65.3%,37.5%,
91935,"$80,291","$93,092",$692,"$1,504",8742,8426,88.1%,89.8%,
92677,"$80,146","$98,264","$1,208","$1,820",62099,64642,83.5%,77.3%,
95129,"$79,489","$107,493","$1,282","$1,762",37565,40530,49.8%,29.3%,
91364,"$79,414","$93,919","$1,170","$1,810",25985,26975,85.1%,77.1%,
95124,"$79,008","$106,660","$1,207","$1,578",45250,48505,79.8%,70.8%,
91709,"$78,336","$97,609","$1,035","$1,825",66734,76187,56.4%,50.7%,
92676,"$78,269","$84,750","$1,186","$1,562",1839,2033,90.4%,91.9%,
95683,"$78,260","$100,139","$1,289","$1,595",4711,6555,90.2%,82.3%,
94618,"$77,952","$123,575",$935,"$1,517",15420,17007,79.7%,71.0%,
91320,"$77,865","$106,365","$1,213","$1,918",37775,44958,84.7%,77.0%,
92129,"$77,851","$109,267",$975,"$1,697",47217,54664,62.7%,56.7%,
94304,"$77,539","$101,932","$1,948","$2,001",1704,3688,73.1%,70.4%,
94925,"$77,455","$113,279","$1,311","$1,721",9019,9478,87.7%,82.4%,
94568,"$77,122","$113,616","$1,356","$1,881",29633,48097,69.4%,51.5%,
92614,"$76,934","$95,984","$1,358","$1,900",22493,25657,61.6%,57.4%,
94965,"$76,808","$89,715","$1,453","$1,815",11206,11114,78.9%,78.2%,
93021,"$76,796","$99,537","$1,170","$1,720",32978,36407,74.3%,78.6%,
92651,"$76,644","$98,697","$1,093","$1,859",25186,23668,92.1%,90.4%,
94960,"$76,627","$108,295","$1,084","$1,543",16846,15999,92.4%,88.5%,
92662,"$76,381","$82,857","$1,249","$1,952",3120,3018,95.0%,97.8%,
92807,"$76,381","$94,697","$1,199","$1,908",36283,36323,76.0%,76.2%,
92009,"$76,368","$102,212","$1,176","$1,845",43155,43627,88.8%,83.5%,
91915,"$76,346","$99,606","$1,202","$2,001",9270,27290,48.6%,64.4%,
94946,"$76,194","$113,281",$950,"$1,406",589,682,84.9%,91.2%,
94131,"$76,044","$100,114","$1,123","$1,858",27897,28370,69.3%,67.1%,
91208,"$76,034","$88,955",$899,"$1,561",16909,16548,72.9%,76.5%,
91355,"$76,024","$89,596","$1,095","$1,736",24970,33635,86.3%,75.6%,
96141,"$75,863","$57,212",$725,"$1,221",840,669,97.3%,93.7%,
94939,"$75,747","$93,750","$1,403","$1,839",6766,6935,92.3%,88.4%,
94114,"$75,727","$122,970","$1,122","$1,844",30574,32229,82.9%,79.9%,
94547,"$75,707","$100,204","$1,082","$1,554",22460,24622,32.7%,27.1%,
95121,"$75,326","$85,514","$1,348","$1,886",37126,38603,26.5%,31.7%,
92127,"$75,219","$123,459","$1,190","$1,835",20032,41900,76.5%,56.6%,
95123,"$75,188","$90,881","$1,369","$1,810",59621,64602,65.1%,61.2%,
