zip,Average Education Index 2000,Average Education Index 2014,Index Change
94070,14.96,15.66,0.6999999999999993
92129,14.95,15.27,0.3200000000000003
94588,14.94,15.47,0.5300000000000011
92109,14.94,15.49,0.5500000000000007
94508,14.94,14.85,-0.08999999999999986
94576,14.94,13.91,-1.0299999999999994
93109,14.93,15.69,0.7599999999999998
94107,14.93,15.86,0.9299999999999997
94402,14.93,15.45,0.5199999999999996
92108,14.93,15.28,0.34999999999999964
93924,14.92,14.89,-0.02999999999999936
92604,14.92,15.22,0.3000000000000007
92106,14.92,15.21,0.2900000000000009
95318,14.91,15.23,0.3200000000000003
95765,14.91,14.85,-0.0600000000000005
94595,14.91,15.51,0.5999999999999996
95864,14.9,15.42,0.5199999999999996
92677,14.9,15.23,0.33000000000000007
90025,14.89,15.44,0.5499999999999989
95819,14.89,15.7,0.8099999999999987
92103,14.89,15.49,0.5999999999999996
95432,14.89,15.08,0.1899999999999995
90064,14.88,15.68,0.7999999999999989
92124,14.88,14.98,0.09999999999999964
90211,14.88,15.3,0.41999999999999993
94043,14.88,15.52,0.6399999999999988
96146,14.88,15.28,0.3999999999999986
92656,14.87,15.18,0.3100000000000005
95003,14.87,15.09,0.22000000000000064
92808,14.87,15.42,0.5500000000000007
92321,14.86,14.19,-0.6699999999999999
91208,14.86,14.98,0.120000000000001
91106,14.84,15.21,0.370000000000001
95463,14.84,19.0,4.16
94041,14.83,15.46,0.6300000000000008
94118,14.82,15.37,0.5499999999999989
95135,14.82,15.44,0.6199999999999992
92007,14.82,15.31,0.4900000000000002
94586,14.82,14.65,-0.16999999999999993
91362,14.81,15.15,0.33999999999999986
92518,14.81,14.09,-0.7200000000000006
91326,14.81,15.01,0.1999999999999993
93603,14.8,12.41,-2.3900000000000006
92024,14.8,15.18,0.379999999999999
95452,14.79,14.58,-0.20999999999999908
93105,14.78,15.29,0.5099999999999998
93424,14.77,15.3,0.5300000000000011
94517,14.77,14.89,0.120000000000001
91354,14.77,15.04,0.2699999999999996
91914,14.77,14.66,-0.10999999999999943
93720,14.75,14.57,-0.17999999999999972
90067,14.75,15.23,0.4800000000000004
92373,14.75,15.0,0.25
93262,14.75,11.41,-3.34
91784,14.75,14.65,-0.09999999999999964
91381,14.75,14.99,0.2400000000000002
95138,14.73,15.13,0.40000000000000036
92692,14.73,15.0,0.2699999999999996
91423,14.73,15.24,0.5099999999999998
96140,14.71,14.68,-0.030000000000001137
95460,14.7,14.96,0.26000000000000156
93908,14.7,14.61,-0.08999999999999986
94903,14.69,14.87,0.17999999999999972
93940,14.69,15.01,0.3200000000000003
91207,14.68,15.05,0.370000000000001
95233,14.67,13.28,-1.3900000000000006
94086,14.67,15.36,0.6899999999999995
91367,14.67,15.12,0.4499999999999993
93950,14.66,15.05,0.39000000000000057
94946,14.66,14.8,0.14000000000000057
92835,14.66,15.01,0.34999999999999964
92673,14.65,15.24,0.5899999999999999
94566,14.65,15.22,0.5700000000000003
92333,14.65,13.78,-0.870000000000001
93711,14.65,14.49,-0.16000000000000014
92694,14.65,15.79,1.1399999999999988
93529,14.65,14.2,-0.45000000000000107
94923,14.64,14.96,0.3200000000000003
95831,14.64,14.61,-0.030000000000001137
92688,14.63,14.88,0.25
91602,14.63,14.95,0.3199999999999985
95066,14.63,14.98,0.34999999999999964
94555,14.63,15.1,0.46999999999999886
95549,14.62,14.2,-0.41999999999999993
90048,14.61,15.62,1.0099999999999998
95683,14.61,14.71,0.10000000000000142
90046,14.6,15.16,0.5600000000000005
92107,14.59,15.26,0.6699999999999999
92210,14.56,15.25,0.6899999999999995
91759,14.56,15.27,0.7099999999999991
93437,14.54,14.23,-0.3099999999999987
90035,14.54,15.29,0.75
92629,14.54,15.1,0.5600000000000005
96145,14.54,14.72,0.1800000000000015
94937,14.54,15.11,0.5700000000000003
90401,14.53,15.4,0.870000000000001
95134,14.52,15.88,1.3600000000000012
92649,14.52,14.8,0.28000000000000114
96141,14.51,14.81,0.3000000000000007
90505,14.51,14.85,0.33999999999999986
95816,14.5,15.1,0.5999999999999996
92120,14.5,14.8,0.3000000000000007
92354,14.5,14.67,0.16999999999999993
94938,14.49,15.32,0.8300000000000001
94523,14.49,15.03,0.5399999999999991
91355,14.48,14.61,0.129999999999999
95054,14.48,15.68,1.1999999999999993
95465,14.47,15.18,0.7099999999999991
94109,14.47,15.18,0.7099999999999991
94038,14.47,13.83,-0.6400000000000006
93401,14.47,15.0,0.5299999999999994
90245,14.47,14.81,0.33999999999999986
93531,14.46,15.14,0.6799999999999997
91101,14.46,15.28,0.8199999999999985
90278,14.45,15.07,0.620000000000001
91915,14.45,14.51,0.0600000000000005
95060,14.44,14.86,0.41999999999999993
93012,14.44,15.05,0.6100000000000012
