,Median_Household_Income_2014,Zip
854,"$56,394",95937
855,"$56,378",94609
856,"$56,337",90046
857,"$56,277",92392
858,"$56,250",95636
859,"$56,250",95830
860,"$56,245",90717
861,"$56,219",90621
862,"$56,154",94589
863,"$56,101",95690
864,"$56,081",95547
865,"$56,059",90241
866,"$56,049",95603
867,"$55,996",95726
868,"$55,959",94608
869,"$55,947",92505
870,"$55,882",90704
871,"$55,878",95623
872,"$55,865",94565
873,"$55,833",95010
874,"$55,827",95833
875,"$55,801",93117
876,"$55,750",92239
877,"$55,710",95667
878,"$55,656",95670
879,"$55,635",92111
880,"$55,599",95320
881,"$55,530",92078
882,"$55,500",95323
883,"$55,355",95987
884,"$55,256",95608
885,"$55,250",95045
886,"$55,238",91343
887,"$55,217",91340
888,"$55,210",93033
889,"$55,169",92365
890,"$55,111",90814
891,"$55,082",93906
892,"$55,069",92567
893,"$55,051",92503
894,"$55,000",95653
895,"$54,980",93436
896,"$54,966",92116
897,"$54,945",93001
898,"$54,945",93101
899,"$54,792",95379
900,"$54,782",93060
901,"$54,769",91702
902,"$54,769",93532
903,"$54,688",96029
904,"$54,640",91910
905,"$54,630",90710
906,"$54,565",92081
907,"$54,527",96130
908,"$54,444",95659
909,"$54,422",92805
910,"$54,381",93722
911,"$54,372",94509
912,"$54,366",95326
913,"$54,327",95714
914,"$54,205",93451
915,"$54,034",95565
916,"$54,003",94063
917,"$54,000",92397
918,"$53,955",93933
919,"$53,820",92026
920,"$53,807",92359
921,"$53,750",93541
922,"$53,677",90740
923,"$53,652",95407
924,"$53,648",95826
925,"$53,571",93432
926,"$53,559",92683
927,"$53,473",92027
928,"$53,466",95363
929,"$53,456",93523
930,"$53,419",96008
931,"$53,389",94535
932,"$53,385",93667
933,"$53,368",95436
934,"$53,281",95666
935,"$53,250",96146
936,"$53,235",95357
937,"$53,214",95936
938,"$53,194",95612
939,"$53,150",94133
940,"$53,059",92841
941,"$53,056",95564
942,"$53,054",92249
943,"$53,008",93230
944,"$53,002",95816
945,"$52,906",93401
946,"$52,841",95701
947,"$52,841",96148
948,"$52,813",95401
949,"$52,794",90065
950,"$52,579",93442
951,"$52,564",93454
952,"$52,536",92843
953,"$52,517",91755
954,"$52,500",96063
955,"$52,457",92069
956,"$52,420",93955
957,"$52,408",92804
958,"$52,376",91945
959,"$52,371",93041
960,"$52,354",91942
961,"$52,329",93430
962,"$52,314",92101
963,"$52,292",95684
964,"$52,279",96107
965,"$52,274",91607
966,"$52,274",95695
967,"$52,233",93927
968,"$52,203",93306
969,"$52,173",94806
970,"$52,154",96022
971,"$52,143",95461
972,"$52,123",93527
973,"$52,077",91206
974,"$52,015",95012
975,"$52,000",93544
976,"$51,992",94514
977,"$51,976",94305
978,"$51,956",90248
979,"$51,935",90670
980,"$51,927",95222
981,"$51,921",94937
982,"$51,908",95943
983,"$51,875",95412
984,"$51,869",95971
985,"$51,827",95621
986,"$51,806",95312
987,"$51,769",90260
988,"$51,702",92407
989,"$51,667",92036
990,"$51,618",95420
991,"$51,520",93453
992,"$51,500",92394
993,"$51,427",90042
994,"$51,398",91335
995,"$51,389",95450
996,"$51,365",92802
997,"$51,345",91331
998,"$51,341",93292
999,"$51,286",95324
1000,"$51,280",93245
1001,"$51,250",93514
1002,"$51,250",93526
1003,"$51,250",93603
1004,"$51,234",91706
1005,"$51,225",91801
1006,"$51,116",92571
1007,"$51,105",91786
1008,"$51,060",91764
1009,"$51,056",93277
1010,"$51,044",93926
1011,"$50,996",90249
1012,"$50,858",93614
1013,"$50,854",95673
1014,"$50,833",93291
1015,"$50,764",95912
1016,"$50,744",92371
1017,"$50,740",95334
1018,"$50,707",91762
1019,"$50,595",93529
1020,"$50,568",92054
1021,"$50,536",95610
1022,"$50,528",95827
1023,"$50,526",91201
1024,"$50,500",95466
1025,"$50,500",95570
1026,"$50,455",93604
1027,"$50,449",92551
1028,"$50,446",95233
1029,"$50,401",92084
1030,"$50,381",91406
1031,"$50,316",90027
1032,"$50,309",92260
1033,"$50,290",93210
1034,"$50,227",95536
1035,"$50,051",95519
1036,"$50,047",92703
1037,"$50,035",92021
1038,"$50,000",93445
1039,"$49,928",92310
1040,"$49,851",92020
1041,"$49,786",90731
1042,"$49,785",93657
1043,"$49,732",96016
1044,"$49,708",95346
1045,"$49,688",95340
1046,"$49,594",94124
1047,"$49,567",95358
1048,"$49,552",92530
1049,"$49,545",95469
1050,"$49,541",94804
1051,"$49,491",93901
1052,"$49,470",95460
1053,"$49,454",95112
1054,"$49,423",92590
1055,"$49,418",93433
1056,"$49,360",90706
1057,"$49,206",91767
1058,"$49,121",93637
1059,"$49,095",94578
1060,"$49,088",91352
1061,"$49,087",90810
1062,"$49,063",96117
1063,"$49,056",91763
1064,"$48,994",91401
1065,"$48,950",96137
1066,"$48,940",95665
1067,"$48,912",95370
1068,"$48,896",91766
1069,"$48,891",91911
1070,"$48,839",95556
1071,"$48,788",92316
1072,"$48,733",92104
1073,"$48,681",95503
1074,"$48,617",93643
1075,"$48,610",92501
1076,"$48,510",95369
1077,"$48,500",95977
1078,"$48,488",95301
1079,"$48,470",93221
1080,"$48,461",93704
