,median_cost for house_2014,zip
438,"$2,541",95703
439,"$2,539",91601
440,"$2,538",95045
441,"$2,534",92866
442,"$2,533",95121
443,"$2,531",94704
444,"$2,530",94523
445,"$2,529",90240
446,"$2,529",96148
447,"$2,528",93441
448,"$2,524",90013
449,"$2,522",91784
450,"$2,519",91016
451,"$2,518",90039
452,"$2,517",94134
453,"$2,516",92614
454,"$2,511",90029
455,"$2,511",90703
456,"$2,511",92010
457,"$2,511",92708
458,"$2,511",94085
459,"$2,510",94952
460,"$2,509",94619
461,"$2,505",90621
462,"$2,505",91103
463,"$2,496",94933
464,"$2,495",90732
465,"$2,495",92833
466,"$2,495",95062
467,"$2,493",92124
468,"$2,493",95377
469,"$2,491",93010
470,"$2,488",90041
471,"$2,485",94709
472,"$2,484",90026
473,"$2,484",94547
474,"$2,484",94703
475,"$2,480",93619
476,"$2,480",95127
477,"$2,478",93420
478,"$2,474",91203
479,"$2,472",91505
480,"$2,472",92865
481,"$2,470",95442
482,"$2,463",94560
483,"$2,462",92028
484,"$2,459",91001
485,"$2,459",92122
486,"$2,459",92508
487,"$2,454",96145
488,"$2,453",95448
489,"$2,452",92082
490,"$2,452",92128
491,"$2,450",94534
492,"$2,448",94612
493,"$2,448",95133
494,"$2,444",93405
495,"$2,443",92881
496,"$2,442",94531
497,"$2,442",94538
498,"$2,441",91350
499,"$2,438",92845
500,"$2,435",91791
501,"$2,435",92883
502,"$2,433",91384
503,"$2,433",91765
504,"$2,433",92860
505,"$2,433",95672
506,"$2,432",91355
507,"$2,432",95043
508,"$2,426",95683
509,"$2,425",91040
510,"$2,425",92831
511,"$2,424",90731
512,"$2,424",90808
513,"$2,420",93063
514,"$2,420",94521
515,"$2,417",93546
516,"$2,415",92691
517,"$2,413",91042
518,"$2,413",95658
519,"$2,412",92025
520,"$2,408",94518
521,"$2,406",90630
522,"$2,405",92019
523,"$2,405",94954
524,"$2,405",95134
525,"$2,404",92821
526,"$2,403",93449
527,"$2,402",94558
528,"$2,401",95765
529,"$2,397",90501
530,"$2,397",95472
531,"$2,393",93035
532,"$2,389",96125
533,"$2,385",91020
534,"$2,382",95630
535,"$2,381",92373
536,"$2,379",92604
537,"$2,378",91205
538,"$2,377",92561
539,"$2,377",92630
540,"$2,376",91773
541,"$2,376",92065
542,"$2,375",94124
