,Median_Rent_2000,zip
451,$850,90743
452,$850,93552
453,$850,94074
454,$850,94512
455,$850,94923
456,$849,90230
457,$849,92591
458,$848,90291
459,$848,92844
460,$847,95401
461,$846,93920
462,$845,91748
463,$845,93449
464,$844,94577
465,$843,92866
466,$843,94109
467,$843,94305
468,$842,91730
469,$842,93924
470,$842,94565
471,$840,91326
472,$840,92683
473,$838,91724
474,$838,93531
475,$838,94578
476,$837,90712
477,$836,91024
478,$836,93465
479,$835,93614
480,$834,91007
481,$834,91750
482,$833,91030
483,$832,92071
484,$832,94513
485,$831,91942
486,$831,92119
487,$831,94020
488,$830,94929
489,$830,95651
490,$827,91501
491,$826,90232
492,$826,90803
493,$826,92029
494,$826,95662
495,$825,91505
496,$825,92083
497,$824,95977
498,$823,90504
499,$823,92801
500,$822,92342
501,$822,95747
502,$820,91916
503,$820,95626
504,$819,90680
505,$818,90068
506,$818,92841
507,$818,92843
508,$818,95677
509,$817,91602
510,$817,93004
511,$817,93402
512,$817,93563
513,$817,95407
514,$817,95625
515,$816,91010
516,$816,91791
517,$815,92253
518,$815,92703
519,$815,95445
520,$814,93437
521,$814,95629
522,$813,94805
523,$813,95843
524,$811,93041
525,$811,95633
526,$810,92881
527,$810,93955
528,$810,95442
529,$810,95830
530,$809,90034
531,$809,93313
532,$808,92832
533,$807,94709
534,$806,92026
535,$805,92019
536,$805,94963
537,$805,95472
538,$804,90621
539,$803,93023
540,$803,93611
541,$803,94574
542,$802,90704
543,$802,93720
544,$802,95831
545,$801,92003
546,$801,95404
547,$800,92321
548,$800,92840
549,$800,93928
550,$800,94520
551,$800,95432
552,$799,94535
553,$799,94611
554,$797,92139
555,$797,92211
556,$796,91207
557,$796,91356
558,$796,93906
559,$796,95638
560,$796,95650
561,$795,90701
562,$795,95376
563,$794,92831
564,$794,94610
565,$792,91740
566,$792,92069
567,$792,92804
568,$792,93551
569,$791,90260
570,$791,91107
571,$791,91790
572,$791,94134
573,$791,94806
574,$791,95436
575,$790,91106
576,$790,92833
577,$790,95329
578,$789,92557
579,$789,95441
580,$788,92110
581,$787,91711
582,$787,92313
583,$787,95045
584,$786,90631
585,$786,92802
586,$786,94509
587,$785,92337
588,$785,93532
589,$783,92562
590,$783,92563
591,$783,94572
592,$781,93933
593,$781,94602
594,$781,95693
595,$781,95930
596,$780,90066
597,$780,94508
598,$780,94922
599,$780,95064
600,$780,96142
601,$779,91504
602,$779,94021
603,$778,92106
604,$778,95635
605,$776,90605
606,$776,91203
607,$776,91206
608,$775,91001
609,$775,92305
610,$775,94940
611,$775,95607
612,$774,90717
613,$774,93424
614,$773,90046
615,$773,94533
616,$771,91780
617,$771,95439
618,$770,90240
619,$770,91746
620,$770,94705
621,$769,93066
622,$769,95682
623,$768,91020
624,$768,92107
625,$768,92371
626,$768,92882
627,$767,90650
628,$767,93033
629,$766,91710
630,$766,92111
631,$766,94559
632,$766,95864
633,$765,91325
634,$765,95023
635,$763,95017
636,$763,95616
637,$763,95701
638,$762,93311
639,$762,95827
640,$761,91324
641,$761,91761
642,$761,92397
643,$761,95007
644,$761,95076
645,$761,95688
646,$760,92655
647,$758,91201
648,$758,92027
649,$758,95443
650,$758,95624
651,$757,91901
652,$757,92706
653,$756,91702
654,$756,93001
655,$756,96087
656,$755,92805
657,$755,94605
658,$755,95639
659,$754,91506
660,$754,93015
661,$754,95372
662,$753,93312
663,$753,93444
664,$752,95242
665,$751,92339
666,$750,91016
667,$749,94951
668,$749,95602
669,$749,95628
670,$748,93433
671,$748,95046
672,$747,95233
673,$747,95621
674,$746,90601
675,$746,91776
676,$746,94619
677,$746,95678
678,$745,90606
679,$745,91764
680,$745,93427
681,$745,94608
682,$744,91101
683,$744,92880
684,$743,90670
685,$743,91342
686,$743,92595
687,$743,93543
688,$743,95709
689,$742,90604
690,$741,90405
691,$741,90745
692,$741,92506
693,$741,95658
694,$740,92154
695,$740,92352
