,house_median_value_2014,zip
528,"$437,800",91101
529,"$437,800",95421
530,"$437,500",90713
531,"$436,300",94518
532,"$436,100",93427
533,"$435,900",92101
534,"$434,700",90603
535,"$434,400",95127
536,"$433,900",92119
537,"$433,100",92676
538,"$432,700",91773
539,"$432,300",95112
540,"$432,300",95409
541,"$432,000",90241
542,"$431,900",93003
543,"$430,800",95864
544,"$429,200",95818
545,"$428,900",90015
546,"$428,900",93063
547,"$428,700",95524
548,"$427,700",91040
549,"$427,500",92028
550,"$426,000",91355
551,"$425,100",94510
552,"$425,100",95405
553,"$424,700",91770
554,"$424,700",93603
555,"$423,800",92806
556,"$423,000",91724
557,"$422,100",95651
558,"$421,200",95002
559,"$420,400",90631
560,"$420,300",94954
561,"$420,200",94559
562,"$420,000",92066
563,"$418,600",90601
564,"$418,500",93001
565,"$418,100",95045
566,"$417,100",92832
567,"$416,800",95663
568,"$416,500",93510
569,"$416,400",91042
570,"$416,300",90602
571,"$415,300",95683
572,"$414,300",95427
573,"$414,100",92019
574,"$413,000",90712
575,"$412,200",93932
576,"$411,800",93004
577,"$410,500",90638
578,"$410,200",91204
579,"$409,300",95004
580,"$408,600",94569
581,"$407,600",95650
582,"$407,100",92025
583,"$407,000",95110
584,"$406,800",92123
585,"$406,400",92054
586,"$405,600",95699
587,"$404,900",92020
588,"$403,200",90006
589,"$402,300",90620
590,"$402,100",94521
591,"$401,500",94931
592,"$401,000",90701
593,"$400,300",91913
594,"$400,200",90250
595,"$399,400",95672
596,"$398,800",90021
597,"$398,800",95819
598,"$398,600",92126
599,"$397,500",95658
600,"$397,300",92617
601,"$397,200",90621
602,"$396,700",92841
603,"$395,500",92111
604,"$395,500",93035
605,"$395,300",90017
606,"$395,000",92860
607,"$394,800",95459
608,"$394,700",91384
609,"$394,700",92084
610,"$394,200",95630
611,"$394,000",95492
612,"$393,800",90012
613,"$393,400",93022
614,"$392,100",90710
615,"$392,000",92081
616,"$391,500",93444
617,"$391,300",94595
618,"$390,900",95637
619,"$390,800",90042
620,"$390,300",92880
621,"$388,700",90260
622,"$387,500",95553
623,"$387,400",93422
624,"$387,400",93433
625,"$386,800",91343
626,"$386,800",95220
627,"$386,800",95468
628,"$385,800",95959
629,"$385,700",94505
630,"$385,200",92065
631,"$384,900",90013
632,"$384,900",95444
633,"$384,700",95410
634,"$384,600",92078
635,"$384,400",90640
636,"$383,800",91350
637,"$383,800",91708
638,"$383,700",92844
639,"$382,700",95306
640,"$381,900",95693
641,"$381,300",94577
642,"$380,900",90242
643,"$380,600",95728
644,"$380,000",93621
645,"$379,500",91203
646,"$379,000",93432
647,"$378,900",92655
648,"$378,600",95493
649,"$378,400",92840
650,"$377,700",92802
651,"$377,100",96143
652,"$376,800",92069
653,"$376,300",91606
654,"$376,100",92881
655,"$376,000",93402
656,"$375,900",91915
657,"$375,800",94553
658,"$375,200",90755
659,"$375,000",94516
660,"$375,000",95387
661,"$374,500",95076
662,"$374,300",95682
663,"$374,000",92843
664,"$373,800",95558
665,"$373,600",91740
666,"$373,300",93604
667,"$373,200",94579
668,"$373,100",94547
669,"$373,000",95938
670,"$372,500",90007
671,"$372,300",95664
672,"$371,400",96040
673,"$371,400",96065
674,"$370,400",91387
675,"$370,200",94605
676,"$369,800",90604
677,"$369,700",93626
678,"$369,500",90804
679,"$369,300",91790
680,"$369,100",94513
681,"$368,600",93426
682,"$368,500",92373
683,"$368,400",91406
684,"$368,200",91723
685,"$367,900",95304
686,"$367,700",91701
687,"$367,700",92026
688,"$367,500",93730
689,"$367,400",95602
690,"$367,300",91306
691,"$367,300",95391
692,"$367,000",92804
693,"$366,300",92115
694,"$366,300",95570
695,"$366,000",92805
696,"$365,100",90746
697,"$365,000",92060
698,"$364,700",95542
699,"$364,400",95436
700,"$364,200",93440
701,"$363,800",90605
702,"$363,000",90016
703,"$363,000",95043
704,"$362,600",94612
705,"$362,500",91792
706,"$362,500",96046
707,"$362,100",93619
708,"$361,900",93446
709,"$361,800",95674
710,"$361,600",95449
711,"$361,600",95722
712,"$361,500",95318
713,"$361,300",94608
714,"$360,900",95920
715,"$360,000",95698
716,"$359,900",90249
717,"$359,300",95690
718,"$359,100",93036
719,"$358,800",90043
720,"$358,600",92070
721,"$358,300",93933
722,"$358,000",90806
723,"$357,900",94525
724,"$357,900",94545
725,"$357,800",95688
726,"$357,600",90018
727,"$357,600",91942
728,"$356,900",95765
729,"$356,100",91010
730,"$355,700",92056
731,"$355,300",90305
732,"$354,400",90715
733,"$354,200",90031
734,"$353,900",90248
735,"$353,300",91405
736,"$353,200",93030
737,"$353,100",95023
738,"$352,800",95403
739,"$352,500",94580
740,"$352,200",95685
741,"$351,700",95554
742,"$351,500",91502
743,"$351,500",91731
744,"$351,300",95536
745,"$350,700",92315
746,"$350,400",92868
747,"$350,000",95064
748,"$350,000",95429
749,"$349,700",90502
750,"$349,600",93907
751,"$349,400",95236
752,"$349,200",95446
753,"$349,000",90670
754,"$349,000",95415
755,"$348,800",96150
756,"$348,300",91910
757,"$347,600",95122
758,"$347,500",94607
759,"$347,400",91732
760,"$347,200",91962
761,"$347,100",96073
762,"$346,900",92057
763,"$346,700",95425
764,"$346,500",94564
765,"$345,400",91978
766,"$345,200",91605
767,"$344,600",94534
768,"$344,300",95918
769,"$344,200",93955
770,"$344,000",91335
771,"$344,000",95335
772,"$343,900",91352
773,"$343,700",92333
774,"$343,700",92801
775,"$343,700",92883
776,"$343,500",95747
777,"$343,400",91321
778,"$343,400",92704
779,"$343,200",92253
780,"$343,100",95454
781,"$342,900",95075
782,"$342,600",91932
783,"$342,500",93901
784,"$341,900",93453
785,"$341,700",90706
786,"$341,400",95111
787,"$341,000",92211
788,"$340,700",94803
789,"$340,500",94578
790,"$340,500",95943
791,"$340,100",92040
792,"$339,900",91722
793,"$339,800",94519
794,"$338,900",91733
795,"$338,500",91710
796,"$338,100",95638
797,"$337,600",92882
798,"$337,500",95837
799,"$337,200",94606
800,"$337,200",95607
801,"$337,100",92508
802,"$336,400",95313
803,"$336,300",92071
804,"$335,200",95116
805,"$334,700",91303
806,"$334,400",90606
807,"$334,300",91786
808,"$333,700",95648
809,"$333,200",92592
810,"$333,200",95661
811,"$332,300",90032
812,"$332,100",94541
813,"$331,900",90303
814,"$331,700",90014
815,"$331,300",90247
816,"$331,300",95437
817,"$330,900",94514
818,"$330,400",94592
819,"$330,200",92061
820,"$329,700",95528
821,"$329,600",95831
822,"$329,500",91345
823,"$329,500",95521
824,"$329,100",95470
825,"$328,400",90660
826,"$328,300",90745
827,"$328,200",91342
828,"$328,200",95689
829,"$327,800",95603
830,"$327,600",95401
831,"$327,200",95946
832,"$325,800",93455
833,"$324,000",95615
834,"$323,500",94544
835,"$323,000",90040
836,"$323,000",95949
837,"$322,400",96117
838,"$322,000",91759
839,"$321,400",92506
840,"$321,200",95366
841,"$321,200",95456
842,"$321,100",96091
843,"$320,900",90650
844,"$320,500",95230
845,"$320,500",95628
846,"$320,200",92027
847,"$319,500",92352
848,"$319,000",93645
849,"$318,500",95811
850,"$318,400",92707
851,"$318,200",95703
852,"$317,400",91351
853,"$317,200",95223
854,"$317,000",96125
855,"$316,800",95462
856,"$316,700",95547
857,"$316,500",93060
858,"$315,600",94503
859,"$315,500",96120
860,"$315,200",90302
861,"$313,100",95667
862,"$313,000",92701
863,"$312,300",95757
864,"$312,100",90304
865,"$312,000",90744
866,"$311,400",93541
867,"$311,400",96124
868,"$311,100",95945
869,"$310,200",95377
870,"$309,900",95742
871,"$308,800",94572
872,"$308,700",96104
873,"$308,200",91702
874,"$308,100",94928
875,"$307,900",91746
876,"$307,300",95258
877,"$306,700",90810
878,"$306,700",91977
879,"$306,600",93015
880,"$305,700",95525
881,"$305,100",95589
882,"$305,000",93651
883,"$304,900",95383
884,"$304,700",92591
885,"$304,200",95608
886,"$302,900",92562
887,"$302,900",95942
888,"$302,600",93711
889,"$302,400",92703
890,"$302,300",95928
891,"$302,200",92059
892,"$302,100",95701
893,"$301,200",95519
894,"$300,900",92021
895,"$300,800",90813
896,"$300,600",95346
897,"$300,100",91752
898,"$300,100",91911
899,"$299,500",95374
900,"$299,000",91340
901,"$298,900",94805
902,"$298,900",95019
903,"$298,600",95677
904,"$298,600",95814
905,"$298,000",95669
906,"$297,200",90280
907,"$297,100",93563
908,"$296,900",95709
909,"$296,800",95614
910,"$296,500",90740
911,"$296,400",90680
912,"$296,300",90022
913,"$296,200",90033
914,"$295,800",96076
915,"$295,700",90047
916,"$295,600",95585
917,"$295,500",92083
918,"$295,500",95563
919,"$295,100",91945
920,"$295,000",96010
921,"$294,900",90023
922,"$294,000",91744
923,"$294,000",93314
924,"$293,700",91706
925,"$293,600",92036
926,"$292,900",95595
927,"$292,900",96062
928,"$292,800",90057
929,"$292,800",92336
930,"$292,400",91331
931,"$292,200",92561
932,"$292,200",95560
933,"$291,300",92102
934,"$290,800",95975
935,"$290,000",95659
936,"$289,900",91730
937,"$289,600",95635
938,"$289,500",95717
939,"$289,300",95694
940,"$288,400",91402
941,"$287,900",90805
942,"$287,700",90255
943,"$287,500",95714
944,"$287,400",95407
945,"$286,800",93041
946,"$286,800",96103
947,"$286,000",95482
948,"$285,600",95461
949,"$284,100",90270
950,"$283,900",92563
951,"$283,800",93601
952,"$283,800",95623
953,"$283,400",92260
954,"$283,400",93723
955,"$282,900",95642
956,"$282,600",92114
957,"$282,600",95713
958,"$282,400",92108
959,"$282,100",96029
960,"$282,000",94531
961,"$281,900",90062
962,"$281,500",92139
963,"$281,100",96067
964,"$280,800",90802
965,"$280,400",90063
966,"$280,400",90301
967,"$279,500",93925
968,"$279,400",93265
969,"$279,100",92262
970,"$278,900",92058
971,"$278,700",92596
972,"$278,400",90262
973,"$277,800",95633
974,"$277,500",95389
975,"$277,200",92154
976,"$277,100",93514
977,"$276,900",93628
978,"$276,300",90201
979,"$276,300",92354
980,"$276,300",93271
981,"$276,000",91905
982,"$275,300",95219
983,"$275,300",95247
984,"$275,000",95527
985,"$275,000",96024
986,"$274,900",91950
987,"$274,300",95962
988,"$274,200",91761
989,"$274,200",92105
990,"$274,100",93667
991,"$273,200",90037
992,"$273,200",95248
993,"$272,900",93653
994,"$272,600",93451
995,"$272,400",93033
996,"$272,300",95242
997,"$272,000",95620
998,"$272,000",95695
999,"$271,900",95681
1000,"$271,400",95251
1001,"$270,400",90044
1002,"$270,400",95624
1003,"$270,200",92587
1004,"$270,200",95370
1005,"$269,700",95631
1006,"$269,500",93454
1007,"$269,400",95303
1008,"$269,200",95678
1009,"$269,100",90011
1010,"$268,300",95503
1011,"$268,300",95569
1012,"$268,200",92879
1013,"$268,100",95222
1014,"$267,700",95973
1015,"$267,100",95926
1016,"$266,700",92305
1017,"$266,300",93669
1018,"$266,000",93720
1019,"$265,400",96128
1020,"$265,300",95232
1021,"$265,300",95655
1022,"$265,200",95321
1023,"$265,100",92321
1024,"$264,300",94591
1025,"$264,000",93643
1026,"$263,900",91766
1027,"$263,600",95829
1028,"$263,300",96096
