,Median Income 2000,zip
443,"$56,569",94111
444,"$56,566",90045
445,"$56,486",92019
446,"$56,426",91107
447,"$56,416",95209
448,"$56,216",91791
449,"$56,140",95442
450,"$55,995",94558
451,"$55,973",92119
452,"$55,957",92882
453,"$55,875",95942
454,"$55,869",95128
455,"$55,833",95364
456,"$55,821",95366
457,"$55,813",91504
458,"$55,811",95819
459,"$55,766",95472
460,"$55,701",91030
461,"$55,512",92865
462,"$55,492",90240
463,"$55,340",92336
464,"$55,321",94602
465,"$55,185",91710
466,"$55,156",92267
467,"$55,123",92008
468,"$55,112",94401
469,"$55,000",94132
470,"$54,964",90403
471,"$54,926",95258
472,"$54,879",94115
473,"$54,792",93531
474,"$54,732",94933
475,"$54,724",92557
476,"$54,686",92253
477,"$54,643",95633
478,"$54,594",94580
479,"$54,574",93003
480,"$54,545",96145
481,"$54,448",95620
482,"$54,342",94134
483,"$54,316",95662
484,"$54,223",93536
485,"$54,174",94619
486,"$54,140",95330
487,"$54,111",95677
488,"$54,082",95060
489,"$54,074",91792
490,"$53,884",95439
491,"$53,881",94589
492,"$53,824",92071
493,"$53,800",95830
494,"$53,795",94110
495,"$53,750",93251
496,"$53,750",93921
497,"$53,750",94964
498,"$53,750",95549
499,"$53,676",92056
500,"$53,596",91403
501,"$53,586",92078
502,"$53,451",92879
503,"$53,403",96073
504,"$53,337",92618
505,"$53,251",93455
506,"$53,190",92584
507,"$53,125",94922
508,"$53,036",95441
509,"$52,955",95412
510,"$52,917",92338
511,"$52,912",95409
512,"$52,890",90068
513,"$52,883",92337
514,"$52,864",95404
515,"$52,800",90601
516,"$52,772",94924
517,"$52,696",91740
518,"$52,662",91423
519,"$52,603",91345
520,"$52,500",95426
521,"$52,493",93110
522,"$52,434",95403
523,"$52,376",93465
524,"$52,297",94931
525,"$52,251",92211
526,"$52,222",93532
527,"$52,208",92563
528,"$52,149",93463
529,"$52,100",95689
530,"$52,052",93013
531,"$52,039",92122
532,"$51,969",95346
533,"$51,952",94928
534,"$51,896",94501
535,"$51,894",91040
536,"$51,740",91505
537,"$51,640",91748
538,"$51,500",95389
539,"$51,420",91356
540,"$51,418",94595
541,"$51,290",95938
542,"$51,275",90230
543,"$51,255",91007
544,"$51,215",90069
545,"$51,207",95448
546,"$51,008",92251
547,"$51,000",95631
548,"$50,929",92833
549,"$50,888",94577
550,"$50,888",96103
551,"$50,849",91506
552,"$50,825",91790
553,"$50,816",95949
554,"$50,806",92596
555,"$50,709",93023
556,"$50,703",94971
557,"$50,673",94956
558,"$50,666",90631
559,"$50,638",95648
560,"$50,634",91010
561,"$50,630",90605
562,"$50,610",90745
563,"$50,608",92382
564,"$50,591",95946
565,"$50,587",90504
566,"$50,555",92806
567,"$50,543",90807
568,"$50,540",90405
569,"$50,537",94533
570,"$50,520",95476
571,"$50,500",94512
572,"$50,396",95219
573,"$50,316",95212
574,"$50,300",94805
575,"$50,274",93940
576,"$50,270",96142
577,"$50,263",93950
578,"$50,244",93420
579,"$50,236",93432
580,"$50,231",93444
581,"$50,227",93667
582,"$50,179",93552
583,"$50,129",92595
584,"$50,126",91722
585,"$50,114",93313
586,"$50,113",95126
587,"$50,047",91730
588,"$50,014",90035
589,"$50,000",96016
590,"$49,979",91321
591,"$49,961",91324
592,"$49,923",92704
593,"$49,901",92397
594,"$49,844",95236
595,"$49,836",90604
596,"$49,821",95254
597,"$49,818",91202
598,"$49,784",95665
599,"$49,754",93422
600,"$49,686",92683
601,"$49,677",93427
602,"$49,646",92123
603,"$49,625",95742
604,"$49,615",95678
605,"$49,583",96062
606,"$49,513",92567
607,"$49,469",92057
608,"$49,452",94544
609,"$49,430",91761
610,"$49,418",92551
611,"$49,286",95039
612,"$49,284",92028
613,"$49,279",94063
614,"$49,192",95401
615,"$49,131",91316
616,"$49,124",93906
617,"$49,080",92707
618,"$49,066",94610
619,"$49,064",91306
620,"$49,047",95242
621,"$49,038",95694
622,"$49,032",92139
623,"$49,011",92040
624,"$48,942",95629
625,"$48,927",90715
626,"$48,917",95524
627,"$48,855",91325
628,"$48,839",93932
629,"$48,830",95220
630,"$48,750",95550
631,"$48,744",91342
632,"$48,672",94525
633,"$48,601",90502
634,"$48,544",95336
635,"$48,541",95116
636,"$48,523",94541
637,"$48,523",94565
638,"$48,520",95603
639,"$48,452",94599
640,"$48,441",92026
641,"$48,439",90041
642,"$48,295",93925
643,"$48,260",95320
644,"$48,214",93529
645,"$48,203",95110
646,"$48,194",95635
647,"$48,182",93440
648,"$48,125",93554
649,"$48,052",91304
650,"$48,051",92342
651,"$48,036",94937
652,"$48,036",95493
653,"$48,000",96029
654,"$47,989",91602
655,"$47,970",92373
656,"$47,961",92780
657,"$47,856",95602
658,"$47,837",95252
659,"$47,813",95625
660,"$47,813",95974
661,"$47,806",90025
662,"$47,746",90036
663,"$47,708",96110
664,"$47,707",95667
665,"$47,679",94929
666,"$47,636",92036
667,"$47,625",93103
668,"$47,589",95685
669,"$47,575",91780
670,"$47,573",90024
671,"$47,467",95713
672,"$47,288",94605
673,"$47,245",92117
674,"$47,185",90048
675,"$47,153",92840
676,"$47,143",95659
677,"$47,099",95993
678,"$47,056",95045
679,"$47,038",95357
680,"$47,031",93561
681,"$46,999",95776
682,"$46,976",91916
683,"$46,892",92841
684,"$46,875",95432
685,"$46,858",93546
686,"$46,853",91978
687,"$46,818",95227
688,"$46,817",95436
689,"$46,806",93402
690,"$46,804",95382
691,"$46,792",91744
692,"$46,716",92653
693,"$46,681",95626
694,"$46,663",95356
695,"$46,617",91106
696,"$46,521",93449
697,"$46,500",93262
698,"$46,488",95383
699,"$46,468",91016
700,"$46,342",93033
701,"$46,319",95632
702,"$46,250",95601
703,"$46,250",95701
704,"$46,189",92114
705,"$46,181",95062
706,"$46,179",95709
707,"$46,175",93030
708,"$46,171",95010
709,"$46,141",95977
710,"$46,138",92627
711,"$46,121",90232
712,"$46,101",95445
713,"$46,077",92027
714,"$46,061",90670
715,"$46,012",90650
716,"$46,006",95363
717,"$45,995",92509
718,"$45,991",95726
719,"$45,917",91977
720,"$45,916",91941
721,"$45,903",94972
722,"$45,901",92083
723,"$45,897",95670
724,"$45,868",93505
725,"$45,803",95959
726,"$45,769",90291
727,"$45,766",92339
728,"$45,732",93015
729,"$45,722",93555
730,"$45,711",90305
731,"$45,693",95608
732,"$45,681",95425
733,"$45,647",92069
734,"$45,615",90039
735,"$45,560",92346
736,"$45,516",92374
737,"$45,500",93541
738,"$45,450",94511
739,"$45,435",92706
740,"$45,423",95610
741,"$45,417",93634
742,"$45,357",95417
743,"$45,357",95606
744,"$45,357",96121
745,"$45,354",95076
746,"$45,307",92866
747,"$45,273",92358
748,"$45,267",92868
749,"$45,243",93428
750,"$45,208",93668
751,"$45,202",92109
752,"$45,142",94571
753,"$45,137",95828
754,"$45,115",95355
755,"$45,102",92831
756,"$45,102",95361
757,"$45,089",90066
758,"$45,054",95064
759,"$45,000",95684
760,"$44,861",95329
761,"$44,829",92503
762,"$44,723",94578
763,"$44,722",96108
764,"$44,674",95833
765,"$44,647",92325
766,"$44,643",95975
767,"$44,621",95367
768,"$44,615",92061
769,"$44,563",95223
770,"$44,545",93453
771,"$44,500",90701
772,"$44,500",95612
773,"$44,451",90249
774,"$44,440",90606
775,"$44,432",93271
776,"$44,432",95674
777,"$44,394",95372
778,"$44,375",96061
779,"$44,322",92084
780,"$44,322",92371
781,"$44,320",94515
782,"$44,318",93544
783,"$44,189",91746
784,"$44,161",93614
785,"$44,145",95673
786,"$44,112",95470
787,"$44,037",92832
788,"$44,015",93277
789,"$43,875",93222
790,"$43,867",95326
